#,t_min,Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Ref.
1,31,Singapore,Singapore,"27
(81)","27
(81)","28
(82)","28
(82)","28
(82)","28
(82)","28
(82)","28
(82)","27
(81)","27
(81)","27
(81)","26
(79)","27
(81)",
2,31,Austria,Vienna,"0.3
(32.5)","1.5
(34.7)","5.7
(42.3)","10.7
(51.3)","15.7
(60.3)","18.7
(65.7)","20.8
(69.4)","20.2
(68.4)","15.4
(59.7)","10.2
(50.4)","5.1
(41.2)","1.1
(34.0)","10.4
(50.7)",[184]
3,31,Germany,Berlin,"0.6
(33.1)","2.3
(36.1)","5.1
(41.2)","10.2
(50.4)","14.8
(58.6)","17.9
(64.2)","20.3
(68.5)","19.7
(67.5)","15.3
(59.5)","10.5
(50.9)","6.0
(42.8)","1.3
(34.3)","10.3
(50.5)",[198]
4,31,Spain,Madrid,"6.3
(43.3)","7.9
(46.2)","11.2
(52.2)","12.9
(55.2)","16.7
(62.1)","22.2
(72.0)","25.6
(78.1)","25.1
(77.2)","20.9
(69.6)","15.1
(59.2)","9.9
(49.8)","6.9
(44.4)","15.0
(59.0)",[236]
5,31,Italy,Rome,"7.5
(45.5)","8.2
(46.8)","10.2
(50.4)","12.6
(54.7)","17.2
(63.0)","21.1
(70.0)","24.1
(75.4)","24.5
(76.1)","20.8
(69.4)","16.4
(61.5)","11.4
(52.5)","8.4
(47.1)","15.2
(59.4)",[207]
6,31,Norway,Oslo,"-4.3
(24.3)","-4.0
(24.8)","-0.2
(31.6)","4.5
(40.1)","10.8
(51.4)","15.2
(59.4)","16.4
(61.5)","15.2
(59.4)","10.8
(51.4)","6.3
(43.3)","0.7
(33.3)","-3.1
(26.4)","5.7
(42.3)",[220]
7,31,Poland,Warsaw,"-1.8
(28.8)","-0.6
(30.9)","2.8
(37.0)","8.7
(47.7)","14.2
(57.6)","17.0
(62.6)","19.2
(66.6)","18.3
(64.9)","13.5
(56.3)","8.5
(47.3)","3.3
(37.9)","-0.7
(30.7)","8.5
(47.3)",[222]
8,31,Portugal,Lisbon,"11.6
(52.9)","12.7
(54.9)","14.9
(58.8)","15.9
(60.6)","18.0
(64.4)","21.2
(70.2)","23.1
(73.6)","23.5
(74.3)","22.1
(71.8)","18.8
(65.8)","15.0
(59.0)","12.4
(54.3)","17.5
(63.5)",[223]
9,31,Greece,Athens,"10.2
(50.4)","10.9
(51.6)","13.2
(55.8)","16.9
(62.4)","21.8
(71.2)","26.6
(79.9)","29.3
(84.7)","29.3
(84.7)","25.0
(77.0)","20.1
(68.2)","15.5
(59.9)","11.5
(52.7)","19.2
(66.6)",[200]
10,31,France,Paris,"4.9
(40.8)","5.6
(42.1)","8.8
(47.8)","11.4
(52.5)","15.1
(59.2)","18.2
(64.8)","20.4
(68.7)","20.2
(68.4)","16.9
(62.4)","12.9
(55.2)","8.1
(46.6)","5.4
(41.7)","12.3
(54.1)",[197]
11,31,Albania,Tirana,"6.7
(44.1)","7.8
(46.0)","10.0
(50.0)","13.4
(56.1)","18.0
(64.4)","21.6
(70.9)","24.0
(75.2)","23.8
(74.8)","20.7
(69.3)","16.0
(60.8)","11.7
(53.1)","8.1
(46.6)","15.2
(59.4)",[182]
12,31,Czechia,Prague,"-1.4
(29.5)","-0.4
(31.3)","3.6
(38.5)","8.4
(47.1)","13.4
(56.1)","16.1
(61.0)","18.2
(64.8)","17.8
(64.0)","13.5
(56.3)","8.5
(47.3)","3.1
(37.6)","-0.3
(31.5)","8.4
(47.1)",[192]
13,31,Netherlands,Amsterdam,"3.4
(38.1)","3.5
(38.3)","6.1
(43.0)","9.1
(48.4)","12.9
(55.2)","15.4
(59.7)","17.6
(63.7)","17.5
(63.5)","14.7
(58.5)","11.0
(51.8)","7.1
(44.8)","4.0
(39.2)","10.2
(50.4)",[218]
14,31,Russia,Moscow,"-6.5
(20.3)","-6.7
(19.9)","-1.0
(30.2)","6.7
(44.1)","13.2
(55.8)","17.0
(62.6)","19.2
(66.6)","17.0
(62.6)","11.3
(52.3)","5.6
(42.1)","-1.2
(29.8)","-5.2
(22.6)","5.8
(42.4)",[226]
15,31,Sweden,Stockholm,"-2.8
(27.0)","-3.0
(26.6)","0.1
(32.2)","4.6
(40.3)","10.7
(51.3)","15.6
(60.1)","17.2
(63.0)","16.2
(61.2)","11.9
(53.4)","7.5
(45.5)","2.6
(36.7)","-1.0
(30.2)","6.6
(43.9)",[239]
16,31,Turkey,Istanbul,"5.7
(42.3)","5.7
(42.3)","7.0
(44.6)","11.1
(52.0)","15.7
(60.3)","20.4
(68.7)","22.9
(73.2)","23.1
(73.6)","19.8
(67.6)","15.6
(60.1)","11.5
(52.7)","8.0
(46.4)","13.9
(57.0)",[241]
17,31,United Kingdom,London,"4.3
(39.7)","4.5
(40.1)","6.9
(44.4)","8.7
(47.7)","12.1
(53.8)","15.1
(59.2)","17.3
(63.1)","17.0
(62.6)","14.3
(57.7)","10.9
(51.6)","7.2
(45.0)","4.7
(40.5)","10.3
(50.5)",[246]
18,31,Canada,Toronto,"-3.7
(25.3)","-2.6
(27.3)","1.4
(34.5)","7.9
(46.2)","14.1
(57.4)","19.4
(66.9)","22.3
(72.1)","21.5
(70.7)","17.2
(63.0)","10.7
(51.3)","4.9
(40.8)","-0.5
(31.1)","9.4
(48.9)",[263]
19,31,Cuba,Havana,"22.2
(72.0)","22.4
(72.3)","23.7
(74.7)","24.8
(76.6)","26.1
(79.0)","27.0
(80.6)","27.6
(81.7)","27.9
(82.2)","27.4
(81.3)","26.1
(79.0)","24.5
(76.1)","23.0
(73.4)","25.2
(77.4)",[270]
