key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AE,2020-01-01,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,21.261111,16.216667,26.083333,0.0,,11.555556,54.350613
AE,2020-01-02,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,21.983333,17.461111,26.222222,0.0,,13.855556,61.378914
AE,2020-01-03,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,22.688889,17.161111,28.294444,0.0,,12.833333,54.32551
AE,2020-01-04,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,23.488889,18.122222,28.755556,0.0,,11.133333,46.283248
AE,2020-01-05,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,23.505556,19.383333,27.783333,0.0,,14.588889,57.422378
AE,2020-01-06,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,20.483333,16.944444,22.844444,0.451556,,11.783333,58.043153
AE,2020-01-07,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,19.338889,13.672222,23.738889,0.0,,10.011111,54.90607
AE,2020-01-08,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,20.622222,14.277778,25.6,0.0,,8.6,46.298996
AE,2020-01-09,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,21.255556,16.183333,25.861111,0.5588,,12.105556,56.062913
AE,2020-01-10,ChIJvRKrsd9IXj4RpwoIwFYv0zM,Q878,country/ARE,AE,United Arab Emirates,,,,,,,AE,ARE,0,0,0,,,0,0,,,,,,,,,,,,9890400,6836349,3054051,1290785,8479744,2833079,5914068,118306.0,0.863,1011713,842991,2149343,3169314,1608109,797913,242706,55884,9915,2478,12426,421142267937,43103,0.659,307763,24.4,54.3,,83600,70575,8568,77.814,28.9,16.3,6.5,69.555,44.863,54.7,16.8,,5.7271,2.5278,1357.017456,256.034485,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41216099999,16.30311,19.827778,17.711111,21.994444,12.361333,,16.688889,82.208462
