key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AG,2020-01-01,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.783951,23.32716,28.697531,3.701143,,22.527778,81.603883
AG,2020-01-02,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,26.022222,23.077778,28.872222,3.429,,22.37037,80.104417
AG,2020-01-03,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.761111,22.9,28.188889,1.298222,,21.54321,76.863593
AG,2020-01-04,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.433333,21.5,27.961111,1.923143,,21.229167,74.363129
AG,2020-01-05,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.955556,23.972222,28.161111,1.157111,,20.58642,72.183119
AG,2020-01-06,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.766667,23.734568,28.322222,1.0795,,20.246914,71.562025
AG,2020-01-07,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,25.858025,23.277778,28.358025,0.790222,,20.923611,73.606018
AG,2020-01-08,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,26.511111,23.261111,28.694444,1.100667,,21.462963,73.385904
AG,2020-01-09,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,26.555556,23.493827,28.894444,4.120444,,21.487654,73.486069
AG,2020-01-10,ChIJwdG4bbluDYwRlHmL4Yg3aic,Q781,country/ATG,AG,Antigua and Barbuda,,,,,,,AG,ATG,0,0,0,,,0,0,,,,,,,,,,,,97928,47269,50659,73318,23800,,,222564.0,0.78,14583,13867,14894,14094,13860,12831,8043,4101,1235,308,1654,1727759259,17790,,536900,17.116667,-61.85,,440,167,266,76.885,,13.1,5.0,126.917,83.136,29.9,22.6,,4.5171,2.956,673.85968,235.749039,,,,,,,,,,,,,,,,,,,,,,,,,,,78862099999,6.467293,26.672222,24.302469,28.711111,0.5842,,20.216049,67.61086
