key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AM,2020-01-01,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.461111,-5.016667,5.583333,0.0,,-4.877778,77.637123
AM,2020-01-02,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.922222,-6.127778,4.161111,0.0,,-5.433333,77.160982
AM,2020-01-03,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.9,-4.822222,2.288889,0.03175,,-4.444444,82.785679
AM,2020-01-04,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.518519,-3.808642,1.987654,0.818444,,-3.82716,84.367144
AM,2020-01-05,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-3.683333,-6.672222,2.555556,9.9314,,-6.305556,82.123717
AM,2020-01-06,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-2.811111,-6.833333,1.933333,0.0,,-5.822222,80.071345
AM,2020-01-07,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.494444,-4.822222,3.722222,0.0,,-4.638889,79.456562
AM,2020-01-08,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-2.6,-6.35,3.35,9.9314,,-5.955556,78.453618
AM,2020-01-09,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-3.016667,-7.5,3.772222,0.0,,-6.416667,77.521783
AM,2020-01-10,ChIJx7pz54RWFUARIy2C63p1tNA,Q399,country/ARM,AM,Armenia,,,,,,,AM,ARM,0,0,0,,,0,0,,,,,,,,,,,,2963234,1393747,1569487,1087883,1869848,1083323,1083323,104083.0,0.743,418859,368930,408924,503953,353088,362653,328402,126742,74944,18736,91682,13672802157,4622,0.572,364066,40.383333,44.95,,29740,,,74.945,24.1,6.1,11.0,173.428,65.595,54.8,22.3,4.2,6.107,4.4023,407.635864,343.832977,,,,,,,,,,,,,,,,,,,,,,,,,,,37801099999,15.945851,-1.961111,-5.705556,3.155556,0.0,,-5.55,76.657284
