key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AO,2020-01-01,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.527778,18.0,25.694444,3.556,,17.527778,78.053198
AO,2020-01-02,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.907407,17.592593,25.12963,67.564,,18.537037,81.297823
AO,2020-01-03,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.444444,16.0,24.666667,28.448,,18.833333,85.351156
AO,2020-01-04,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,19.351852,17.666667,20.666667,0.0,,17.814815,90.837578
AO,2020-01-05,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.925926,16.333333,25.333333,1.016,,17.592593,76.740575
AO,2020-01-06,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.481481,17.666667,26.666667,0.0,,17.518519,69.858085
AO,2020-01-07,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.574074,18.333333,25.333333,0.0,,17.518519,78.313277
AO,2020-01-08,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,21.203704,14.5,25.462963,0.677333,,16.907407,77.021279
AO,2020-01-09,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,23.055556,20.333333,25.407407,0.0,,18.277778,74.844091
AO,2020-01-10,ChIJJ4utyk7yURoRPU5KDZ0oClk,Q916,country/AGO,AO,Angola,,,,,,,AO,AGO,0,0,0,,,0,0,,,,,,,,,,,,32866267,16260870,16605398,10764270,21061025,8044735,8044735,26363.0,0.581,10899168,7881778,5306037,3699729,2412735,1464602,785897,331729,79615,19903,84592,94635415869,2973,0.361,195267,-12.35,17.35,,1246700,1248198,1427,60.782,,4.5,51.6,327.044,220.291,118.5,16.5,,0.4075,0.2146,114.459641,39.054794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66325099999,44.209039,18.981481,15.0,21.740741,59.055,,18.203704,95.249512
