key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
AS,2020-01-01,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.166667,25.694444,31.805556,2.54,,24.638889,81.296659
AS,2020-01-02,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,26.740741,23.925926,30.62963,3.048,,23.685185,83.390013
AS,2020-01-03,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,27.5,23.555556,30.907407,15.917333,,24.0,81.301137
AS,2020-01-04,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,27.944444,24.388889,32.305556,5.842,,24.916667,83.642794
AS,2020-01-05,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.0,24.740741,32.074074,0.423333,,24.796296,82.816244
AS,2020-01-06,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.666667,25.055556,32.055556,0.0,,25.092593,81.050762
AS,2020-01-07,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.777778,25.537037,32.055556,0.592667,,25.055556,80.357342
AS,2020-01-08,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,29.037037,25.703704,32.166667,4.402667,,25.240741,80.029731
AS,2020-01-09,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.703704,25.203704,31.574074,10.075333,,24.759259,79.376524
AS,2020-01-10,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.537037,25.333333,31.907407,1.100667,,24.925926,80.891272
AS,2020-01-11,ChIJyf1IkreEpnER3UuuLZ5z7vM,Q16641,country/ASM,AS,American Samoa,,,,,,,AS,ASM,0,0,0,,,0,0,,,,,,,,,,,,55196,,,7109,48203,,,275985.0,,,,,,,,,,,,,636000000,11466,,,-14.295833,-170.7075,765,200,87,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91765061705,3.973857,28.518519,25.444444,32.333333,0.762,,24.648148,79.614133
