key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BB,2020-01-01,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.861111,23.611111,30.527778,1.4732,,21.851852,74.177156
BB,2020-01-02,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.824074,23.092593,30.231481,2.878667,,21.833333,74.337747
BB,2020-01-03,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.175926,22.888889,30.166667,2.624667,,21.925926,77.62386
BB,2020-01-04,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,25.925926,22.111111,30.0,0.3556,,21.759259,78.055325
BB,2020-01-05,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,25.759259,22.037037,30.138889,2.6924,,22.240741,81.136871
BB,2020-01-06,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.046296,22.5,29.814815,6.646333,,22.074074,78.823767
BB,2020-01-07,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.62037,23.222222,30.027778,3.048,,21.453704,73.529199
BB,2020-01-08,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,27.092593,23.805556,30.046296,1.27,,21.907407,73.352122
BB,2020-01-09,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,26.740741,23.185185,30.231481,3.513667,,22.009259,75.388967
BB,2020-01-10,ChIJoxoyrvvxQ4wRKzb0jLNR7A4,Q244,country/BRB,BB,Barbados,,,,,,,BB,BRB,0,0,0,,,0,0,,,,,,,,,,,,287371,139084,148287,197594,89431,,,668305.0,0.8,30618,36512,37578,37124,39067,39936,33573,20154,8389,2097,12809,5209000000,18148,,547511,13.17,-59.5525,,430,14,420,79.081,7.8,13.4,11.3,129.531,91.939,31.1,16.2,,3.06,2.4843,1183.836182,548.158508,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78954000408,13.709015,27.0,22.851852,29.87963,2.709333,,20.851852,69.149851
