key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BG,2020-01-01,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,2.605556,-1.283333,6.961111,0.0,15.24,-3.561111,64.634825
BG,2020-01-02,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,-0.055556,-5.1,6.105556,0.0,,-4.2,74.503549
BG,2020-01-03,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,-0.466667,-5.361111,7.172222,0.0,,-4.288889,76.227756
BG,2020-01-04,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,5.022222,-2.994444,13.127778,0.0,,-3.177778,56.723054
BG,2020-01-05,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,3.905556,0.438889,7.555556,0.0,30.48,-0.238889,75.065461
BG,2020-01-06,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,0.311111,-2.022222,2.805556,0.834571,60.96,-2.444444,82.784537
BG,2020-01-07,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,-1.422222,-5.955556,3.038889,0.381,40.64,-5.8,72.89328
BG,2020-01-08,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,-2.772222,-8.25,4.255556,0.0,30.48,-7.061111,73.510681
BG,2020-01-09,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,-0.672222,-7.083333,6.472222,0.0,10.16,-5.361111,71.122904
BG,2020-01-10,ChIJifBbyMH-qEAREEy_aRKgAAA,Q219,country/BGR,BG,Bulgaria,,,,,,,BG,BGR,0,0,0,,,0,0,,,,,,,,,,,,7000039,3395701,3604338,1719734,5256027,1276937,1276937,63.9,0.782,670392,650000,727368,969414,1062720,946529,954084,680922,271005,67751,338610,66182565600,9440,0.676,186382,42.75,25.5,,111000,103838,6678,75.0,37.0,6.0,5.9,183.956,86.496,61.8,23.6,,4.8156,4.0332,663.715088,308.97641,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15525399999,47.855544,2.055556,-3.533333,10.388889,0.0,10.16,-2.927778,69.910644
