key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BH,2020-01-01,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,19.705556,16.116667,23.261111,0.0,,11.838889,61.019977
BH,2020-01-02,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,19.977778,16.755556,23.011111,0.0,,12.483333,62.294926
BH,2020-01-03,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,22.055556,17.611111,27.038889,0.0,,14.577778,63.083641
BH,2020-01-04,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,23.311111,18.538889,29.411111,0.0,,10.983333,46.205001
BH,2020-01-05,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,17.8,15.327778,21.705556,4.995333,,13.322222,75.253246
BH,2020-01-06,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,17.938889,14.75,20.988889,2.413,,9.694444,58.727882
BH,2020-01-07,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,17.433333,13.833333,21.388889,0.0,,10.433333,63.580548
BH,2020-01-08,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,17.633333,12.705556,21.905556,0.0,,10.288889,62.287317
BH,2020-01-09,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,18.2,15.233333,21.0,0.73025,,13.094444,72.263945
BH,2020-01-10,ChIJEaJHak5SSD4RRhDa2-JQlC4,Q398,country/BHR,BH,Bahrain,,,,,,,BH,BHR,0,0,0,,,0,0,,,,,,,,,,,,1701582,1100474,601109,174063,1467109,600433,,2238925.0,0.824,218135,181855,306670,507733,256721,140230,66572,17818,6424,1606,5848,38574069148,23503,0.668,378734,26.0675,50.551111,,778,115,549,77.163,26.4,15.6,6.1,72.073,56.217,40.1,11.3,,2.4944,0.9257,1127.186279,344.379944,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41150099999,24.10032,18.983333,16.055556,21.088889,3.697111,,15.983333,82.88782
