key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BS,2020-01-01,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.166667,20.259259,29.925926,0.169333,,21.351852,84.326933
BS,2020-01-02,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.203704,20.537037,29.037037,0.0,,20.259259,78.709159
BS,2020-01-03,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.759259,21.666667,29.407407,0.0,,21.277778,81.033939
BS,2020-01-04,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.796296,20.0,31.0,0.169333,,21.796296,83.468931
BS,2020-01-05,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,23.185185,20.592593,27.777778,0.0,,19.351852,79.454758
BS,2020-01-06,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,21.759259,19.333333,25.037037,0.0,,14.444444,63.43285
BS,2020-01-07,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,22.037037,16.666667,26.740741,0.0,,15.87037,68.316169
BS,2020-01-08,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,22.907407,19.759259,26.703704,0.0,,17.0,69.977872
BS,2020-01-09,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.018519,21.222222,27.259259,0.0,,18.759259,72.833293
BS,2020-01-10,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.62963,23.0,27.333333,3.302,,21.240741,81.590659
BS,2020-01-11,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,25.074074,22.574074,28.722222,0.338667,,21.759259,81.876274
BS,2020-01-12,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,25.240741,22.666667,28.740741,0.084667,,21.796296,81.273409
BS,2020-01-13,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.740741,22.259259,28.537037,0.508,,21.740741,83.446499
BS,2020-01-14,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,,,,,,,BS,BHS,0,0,0,,,0,0,,,,,,,,,,,,393248,191093,202155,65698,323784,,,39286.0,0.807,53654,63795,66568,55457,56496,49222,29430,13645,6387,1596,4981,12827000000,32933,,547469,23.7,-76.4,,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78073099999,183.97471,24.944444,22.555556,28.203704,0.0,,20.12963,74.659805
