key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
BY,2020-01-01,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,0.288889,-1.683333,1.527778,0.451556,36.576,-2.433333,81.988935
BY,2020-01-02,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,1.111111,-0.183333,1.922222,0.072571,16.933333,-0.1,91.671252
BY,2020-01-03,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,-0.055556,-2.672222,4.505556,0.0,12.7,-3.444444,78.067612
BY,2020-01-04,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,0.838889,-1.433333,2.4,0.8255,10.16,-0.238889,92.560436
BY,2020-01-05,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,-0.127778,-1.8,1.133333,0.254,16.256,-2.405556,84.723456
BY,2020-01-06,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,-1.227778,-2.411111,-0.011111,0.036286,20.32,-4.205556,80.413801
BY,2020-01-07,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,-0.077778,-1.016667,0.472222,0.34925,13.062857,-0.605556,96.285495
BY,2020-01-08,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,-0.277778,-1.203704,0.716049,0.181429,15.24,-1.411111,92.089706
BY,2020-01-09,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,1.772222,-0.677778,3.85,2.413,10.16,1.105556,95.357408
BY,2020-01-10,ChIJgUit4oQl2kYREIzsgdGhAAA,Q184,country/BLR,BY,Belarus,,,,,,,BY,BLR,0,0,0,,,0,0,,,,,,,,,,,,9449321,4399367,5049954,1983874,7482982,2016677,2016677,46569.0,0.798,1143840,928883,1077802,1530348,1285401,1345791,1243251,525562,290981,72745,368443,63080457022,6663,,59065,53.528333,28.046667,,207600,198055,7783,74.17561,26.7,5.0,2.6,234.903,82.559,60.7,23.7,,11.0027,5.1905,342.499908,94.238846,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26855099999,10.419165,1.738889,-0.35,2.705556,2.88925,,1.427778,97.813987
