key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CC,2020-01-01,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,28.444444,26.111111,31.388889,0.0,,23.388889,74.126402
CC,2020-01-02,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.611111,24.0,30.777778,1.016,,23.0,76.008965
CC,2020-01-03,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,28.277778,24.0,31.0,0.254,,23.222222,74.098873
CC,2020-01-04,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,28.0,26.222222,30.611111,0.0,,23.055556,74.55256
CC,2020-01-05,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.777778,26.0,30.888889,0.0,,21.888889,70.35701
CC,2020-01-06,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.777778,25.0,30.888889,0.0,,20.611111,65.054203
CC,2020-01-07,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.611111,25.388889,30.5,0.0,,20.444444,65.019286
CC,2020-01-08,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.555556,25.0,31.111111,0.0,,20.944444,67.270764
CC,2020-01-09,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,26.166667,25.0,28.388889,1.524,,22.333333,79.465453
CC,2020-01-10,ChIJwWnofonFDi8Rpp_jEPBC0ds,Q36004,country/CCK,CC,Cocos Islands,,,,,,,CC,CCK,0,,,,,,,,,,,,,,,,,,596,292,262,,,,,,,72,81,53,75,75,100,54,31,10,2,13,,,,82636,-12.1175,96.895,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96996099999,10.270762,27.944444,24.222222,31.277778,0.0,,21.944444,69.912473
