key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CI,2020-01-01,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,23.763889,16.569444,33.006944,0.0,,10.833333,47.690174
CI,2020-01-02,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,24.027778,15.493056,32.180556,0.0,,9.3125,40.920249
CI,2020-01-03,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,22.923611,15.034722,31.048611,0.0,,8.118056,40.216502
CI,2020-01-04,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,22.458333,14.833333,30.513889,0.0,,6.736111,37.616766
CI,2020-01-05,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,21.798611,14.666667,29.701389,0.0,,8.229167,44.347508
CI,2020-01-06,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,23.902778,15.215278,32.729167,0.0,,9.208333,41.149407
CI,2020-01-07,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,24.611111,16.118056,34.0625,0.0,,11.201389,44.711596
CI,2020-01-08,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,25.958333,18.076389,34.048611,0.0,,13.784722,48.725454
CI,2020-01-09,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,25.756944,19.319444,33.159722,0.0,,15.583333,56.560748
CI,2020-01-10,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,26.972222,20.020833,34.805556,0.0,,14.381944,49.099982
CI,2020-01-11,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,25.854167,20.194444,31.4375,0.0,,17.493056,62.682255
CI,2020-01-12,ChIJZ6BJsIcTlg8RQO65fGIe-QE,Q1008,country/CIV,CI,Ivory Coast,,,,,,,CI,CIV,0,0,0,,,0,0,,,,,,,,,,,,26378275,13300380,13077895,12539644,13176900,5058550,5058550,82951.0,0.492,7750286,6104858,4660994,3172215,2117552,1337226,822066,341744,55423,13855,71334,58792205642,2286,0.353,192779,8.0,-6.0,,322460,314812,3466,57.422,,2.4,59.4,360.552,325.098,269.1,29.1,,0.6048,,69.749245,27.453821,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65555099999,106.078545,27.972222,21.708333,34.881944,0.0,,16.472222,51.940672
