key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CK,2020-01-01,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.444444,22.0,27.0,1.524,,24.222222,87.619464
CK,2020-01-02,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,24.722222,21.0,28.111111,0.508,,21.722222,83.421118
CK,2020-01-03,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,23.777778,20.0,29.5,0.0,,20.5,81.899636
CK,2020-01-04,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,25.666667,23.0,29.0,0.0,,22.944444,84.946098
CK,2020-01-05,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.166667,23.611111,29.722222,1.27,,24.222222,89.068409
CK,2020-01-06,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.222222,24.0,29.777778,5.08,,24.722222,91.473613
CK,2020-01-07,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.111111,23.0,29.388889,3.048,,23.722222,86.716836
CK,2020-01-08,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.777778,24.0,29.722222,0.0,,23.5,82.264288
CK,2020-01-09,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,27.111111,23.722222,29.0,0.0,,23.166667,79.061398
CK,2020-01-10,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.777778,25.0,29.0,0.0,,22.444444,77.172194
CK,2020-01-11,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.611111,24.388889,29.0,1.016,,22.388889,77.670433
CK,2020-01-12,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.722222,25.0,29.0,1.016,,23.111111,80.618185
CK,2020-01-13,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.5,24.222222,29.0,0.0,,23.111111,81.680538
CK,2020-01-14,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,26.833333,24.277778,29.5,0.508,,23.333333,81.175498
CK,2020-01-15,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,,,,,,,CK,COK,0,0,0,,,0,0,,,,,,,,,,,,17564,9281,8768,,,,,73183.0,,2343,2596,2608,1747,2276,2977,1899,1105,399,99,499,,,,2184233,-21.233333,-159.783333,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91843099999,4.111871,25.611111,23.0,29.0,14.986,,23.333333,87.254165
