key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CL,2020-01-01,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,20.8,15.477778,27.233333,0.0,,11.022222,57.374661
CL,2020-01-02,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,19.888889,13.688889,25.866667,0.0,,11.877778,61.998791
CL,2020-01-03,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,20.144444,14.144444,26.533333,0.0508,,13.177778,65.802126
CL,2020-01-04,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,21.077778,15.355556,25.933333,0.0,,13.5,65.108005
CL,2020-01-05,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,19.455556,15.055556,26.444444,0.0,,12.311111,64.951602
CL,2020-01-06,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,18.177778,11.111111,24.1,0.0,,9.455556,58.151582
CL,2020-01-07,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,20.144444,12.355556,26.155556,0.0,,9.711111,52.673906
CL,2020-01-08,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,19.955556,13.177778,26.888889,0.0,,11.177778,59.47967
CL,2020-01-09,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,20.755556,12.655556,27.255556,0.0,,10.4,53.655374
CL,2020-01-10,ChIJL68lBEHFYpYRHbkCERPhBQU,Q298,country/CHL,CL,Chile,,,,,,,CL,CHL,0,0,0,,,0,0,,,,,,,,,,,,17574003,8972014,8601989,2341903,16610135,6723516,6723516,25710.0,0.832,2428079,2493879,2995538,2945404,2578404,2352271,1791787,993126,381664,95416,537721,282318159744,14896,0.674,167454,-33.0,-71.0,,756700,709418,12027,80.042,37.8,8.6,6.2,107.669,59.035,25.3,12.4,,13.3248,2.5912,1381.986206,463.437714,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85921299999,45.040896,21.122222,12.7,27.5,0.0,,10.066667,50.488268
