key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CM,2020-01-01,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,22.611111,10.222222,27.722222,0.0,,5.333333,32.572438
CM,2020-01-02,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,18.166667,10.5,28.5,0.0,,2.166667,34.298607
CM,2020-01-03,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,18.333333,9.722222,28.277778,0.0,,2.833333,35.588205
CM,2020-01-04,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,18.888889,9.5,31.222222,0.0,,5.166667,40.489095
CM,2020-01-05,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,22.333333,11.722222,31.0,0.0,,5.555556,33.641549
CM,2020-01-06,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,22.0,11.388889,31.111111,0.0,,7.833333,40.145525
CM,2020-01-07,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,22.333333,12.777778,31.222222,0.0,,7.277778,37.875879
CM,2020-01-08,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,24.833333,11.388889,32.277778,0.0,,7.611111,33.328906
CM,2020-01-09,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.111111,12.5,32.0,0.0,,5.444444,31.84517
CM,2020-01-10,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.666667,12.222222,32.222222,0.0,,5.944444,31.879996
CM,2020-01-11,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,21.0,10.5,31.0,0.0,,5.944444,37.494214
CM,2020-01-12,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,24.277778,13.888889,31.777778,0.0,,4.944444,28.670987
CM,2020-01-13,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.444444,9.0,33.611111,0.0,,4.555556,29.337452
CM,2020-01-14,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.333333,10.0,33.277778,0.0,,4.944444,30.347099
CM,2020-01-15,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,24.555556,12.0,31.888889,0.0,,3.722222,25.885812
CM,2020-01-16,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,21.444444,11.777778,29.611111,0.0,,2.444444,28.549387
CM,2020-01-17,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,20.0,8.5,30.5,0.0,,4.277778,35.51389
CM,2020-01-18,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,21.055556,10.5,30.611111,0.0,,4.333333,33.405651
CM,2020-01-19,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,20.0,11.777778,30.222222,0.0,,5.722222,39.271293
CM,2020-01-20,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,22.333333,10.722222,30.611111,0.0,,6.666667,36.322399
CM,2020-01-21,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.611111,10.611111,32.222222,0.0,,4.5,28.931618
CM,2020-01-22,ChIJIQ8-cFM3YRARU5uCmUXEAys,Q1009,country/CMR,CM,Cameroon,,,,,,,CM,CMR,0,0,0,,,0,0,,,,,,,,,,,,26545863,13277075,13268788,11135124,14741256,3822425,7358544,56157.0,0.556,7846026,6176459,4551787,3399842,2141843,1288477,733299,332734,99932,24983,75396,38760467033,1497,0.394,192830,7.0,12.0,,475440,459153,3680,58.921,,6.0,50.6,317.692,281.332,208.1,21.6,,,,67.811813,48.117634,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64870099999,176.570732,23.444444,10.222222,31.888889,0.0,,2.833333,25.989222
