key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CR,2020-01-01,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,26.722222,21.357143,30.460317,0.0,,19.888889,66.596124
CR,2020-01-02,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,26.291667,21.104167,30.451389,0.0,,20.451389,70.595967
CR,2020-01-03,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,26.395833,21.0625,30.263889,0.0,,20.819444,71.733179
CR,2020-01-04,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,27.243056,21.291667,30.951389,0.0,,20.555556,67.395258
CR,2020-01-05,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,27.083333,21.659722,30.875,0.036286,,19.541667,64.088194
CR,2020-01-06,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,27.013889,21.951389,30.715278,0.550333,,20.1875,66.610492
CR,2020-01-07,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,26.291667,19.972222,30.625,0.508,,19.013889,64.877528
CR,2020-01-08,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,26.340278,21.284722,30.375,0.0,,19.104167,65.475295
CR,2020-01-09,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,27.380952,22.484127,30.833333,0.0,,19.888889,64.269978
CR,2020-01-10,ChIJJcmsIWLlko8RK5qBNSX3VGI,Q800,country/CRI,CR,Costa Rica,,,,,,,CR,CRI,0,0,0,,,0,0,,,,,,,,,,,,5094114,2545076,2549038,1005676,4041885,1378546,1378546,99767.0,0.794,705598,718837,824456,825655,650562,602395,423008,230865,87240,21810,112738,61773944173,12238,0.619,287667,10.0,-84.0,,51100,46479,4051,80.095,11.9,9.1,7.6,113.079,56.969,23.3,11.5,1.2,3.4144,2.8939,869.077759,184.725845,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78764099999,16.065107,27.395833,22.798611,31.097222,0.127,,19.409722,62.280542
