key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CV,2020-01-01,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.833333,20.255556,25.044444,0.0,,16.9,69.27856
CV,2020-01-02,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.877778,20.366667,25.144444,0.0,,16.577778,67.755339
CV,2020-01-03,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.433333,19.444444,25.044444,0.0,,15.855556,66.477955
CV,2020-01-04,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.744444,20.033333,25.466667,0.0,,15.588889,64.141301
CV,2020-01-05,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.344444,19.444444,24.744444,0.0,,13.6,57.913754
CV,2020-01-06,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,22.544444,19.722222,25.077778,0.0,,12.866667,54.357898
CV,2020-01-07,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,21.733333,19.433333,24.055556,0.0,,13.277778,58.658145
CV,2020-01-08,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,21.855556,19.277778,24.244444,0.0,,11.866667,53.074019
CV,2020-01-09,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,21.466667,18.455556,24.1,0.0,,11.011111,51.381108
CV,2020-01-10,ChIJMVERWSGPNQkRH-oY-TbyGms,Q1011,country/CPV,CV,Cape Verde,,,,,,,CV,CPV,0,0,0,,,0,0,,,,,,,,,,,,555988,279117,276871,185906,364029,,,137962.0,0.654,105076,99937,97845,98286,64906,47912,26373,9056,6404,1601,6597,1981845740,3603,,535774,15.916667,-24.083333,,4030,3913,180,72.782,9.1,2.4,16.7,182.203,85.514,99.5,17.2,,1.2983,0.7814,167.589615,48.427498,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,08589099999,126.94315,21.355556,18.211111,24.1,0.0,,11.422222,53.177557
