key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CY,2020-01-01,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,12.067901,8.061728,16.222222,2.850444,,8.469136,78.805464
CY,2020-01-02,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,11.907407,8.45679,14.919753,6.265333,,8.635802,80.573968
CY,2020-01-03,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,11.185185,8.808642,13.666667,9.962444,10.16,8.530864,83.944281
CY,2020-01-04,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,12.098765,6.771605,15.759259,6.491111,,7.376543,73.190621
CY,2020-01-05,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,13.290123,8.938272,17.0,1.241778,,7.938272,70.433857
CY,2020-01-06,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,14.506173,9.58642,16.771605,5.221111,10.16,9.728395,73.189755
CY,2020-01-07,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,11.722222,9.080247,14.117284,16.905111,20.32,8.12963,78.919735
CY,2020-01-08,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,10.654321,8.006173,13.87037,14.082889,10.16,7.950617,83.695982
CY,2020-01-09,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,12.32716,8.555556,15.512346,18.034,,6.030864,65.834597
CY,2020-01-10,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,11.746914,6.364198,15.950617,0.395111,,3.679012,58.061528
CY,2020-01-11,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,11.037037,5.117284,16.308642,0.0,,4.95679,66.631922
CY,2020-01-12,ChIJVU1JymcX3hQRbhTEf4A8TDI,Q229,country/CYP,CY,Cyprus,,,,,,,CY,CYP,0,0,0,,,0,0,,,,,,,,,,,,875899,427831,448068,397867,800708,,,94.4,0.85,95734,94326,137873,139859,110212,108417,93559,63906,41074,10268,32013,24942615800,28674,0.751,307787,35.0,33.0,,9250,6949,2280,82.9,36.4,9.0,1.9,64.711,32.883,20.1,11.3,,5.2512,1.9509,1731.694458,772.890503,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17500099999,20.413777,12.432099,7.790123,16.697531,0.0,,7.401235,71.770562
