key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
CZ,2020-01-01,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-0.205556,-4.233333,3.238889,0.0,240.03,-4.027778,76.875289
CZ,2020-01-02,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-0.761111,-5.522222,4.911111,0.0,234.95,-8.111111,64.908293
CZ,2020-01-03,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-0.438889,-5.055556,4.277778,0.0,229.87,-2.866667,83.866194
CZ,2020-01-04,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,1.561111,-0.994444,4.6,1.3462,86.36,-0.672222,85.368551
CZ,2020-01-05,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-2.088889,-5.116667,0.211111,3.302,147.828,-5.066667,80.362258
CZ,2020-01-06,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-2.677778,-6.255556,0.405556,6.660444,140.208,-4.6,86.724936
CZ,2020-01-07,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,-1.9,-6.155556,0.861111,0.0,132.08,-3.694444,87.589426
CZ,2020-01-08,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,1.255556,-2.266667,4.333333,0.0254,73.66,-0.3,89.474748
CZ,2020-01-09,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,2.661111,0.577778,4.688889,2.286,85.09,1.977778,95.315105
CZ,2020-01-10,ChIJQ4Ld14-UC0cRb1jb03UcZvg,Q213,country/CZE,CZ,Czech Republic,,,,,,,CZ,CZE,0,0,0,,,0,0,,,,,,,,,,,,10649800,5244194,5405606,2782553,7887156,1298804,1298804,137.7,0.878,1139146,1021305,1166994,1512166,1724438,1320174,1358902,973768,360969,90242,432907,244932977600,23010,0.782,51684,50.0,16.0,,78870,,,79.1,34.3,7.0,2.7,108.785,51.325,29.6,15.0,6.5,8.3955,4.1208,1475.915161,218.569794,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11652099999,18.714173,2.688889,-0.05,5.488889,3.2512,189.23,0.872222,88.224212
