key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
DM,2020-01-01,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.450617,22.746914,29.697531,1.11125,,22.203704,77.641454
DM,2020-01-02,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.462963,22.45679,29.753086,3.65125,,22.240741,77.725235
DM,2020-01-03,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.055556,22.117284,29.32716,1.016,,21.907407,78.215122
DM,2020-01-04,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,25.209877,20.345679,28.944444,1.814286,,22.006944,79.89895
DM,2020-01-05,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,25.271605,22.62963,28.709877,1.80975,,22.024691,82.561918
DM,2020-01-06,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.049383,22.881944,28.882716,7.46125,,21.611111,76.812734
DM,2020-01-07,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.419753,22.364198,29.17284,1.636889,,21.08642,72.760871
DM,2020-01-08,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.901235,22.993827,29.450617,0.98425,,21.580247,72.826302
DM,2020-01-09,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.641975,23.055556,29.475309,3.46075,,21.82716,75.021529
DM,2020-01-10,ChIJFVoV8vrSFIwRPP06BQmRs0k,Q784,country/DMA,DM,Dominica,,,,,,,DM,DMA,0,0,0,,,0,0,,,,,,,,,,,,71991,35041,36298,20978,50830,,,95988.0,0.715,15280,15360,10894,12217,8926,5747,2629,178,88,22,110,596033333,8300,,307823,15.416667,-61.333333,,750,503,251,76.59756,,11.6,32.9,,,,,,6.4385,1.1189,439.594452,136.076263,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78906000403,10.722909,26.796296,23.347222,29.135802,4.600222,,20.685185,69.280687
