key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
EC,2020-01-01,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,16.888889,13.814815,22.555556,23.749,,13.518519,80.750206
EC,2020-01-02,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,16.844444,13.0,22.244444,,,12.733333,76.841212
EC,2020-01-03,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,15.518519,11.981481,21.037037,3.90525,,12.0,79.765145
EC,2020-01-04,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,18.041667,11.819444,24.0,0.508,,10.944444,63.844677
EC,2020-01-05,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,17.962963,11.0,25.425926,0.0,,12.240741,69.56075
EC,2020-01-06,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,17.777778,11.111111,24.382716,1.161143,,10.62963,63.78947
EC,2020-01-07,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,18.2,10.6,24.4,0.0,,10.866667,62.877235
EC,2020-01-08,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,18.177778,11.8,24.6,0.0,,10.711111,61.968343
EC,2020-01-09,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,17.0,8.144444,24.1,0.0,,8.9,59.156887
EC,2020-01-10,ChIJ1UuaqN2HI5ARAjecEQSvdp0,Q736,country/ECU,EC,Ecuador,,,,,,,EC,ECU,0,0,0,,,0,0,,,,,,,,,,,,17643060,8823827,8819233,6256951,11116711,2946158,4793906,71038.0,0.746,3277730,3115985,3036188,2592839,2088240,1591139,1087738,570124,232297,58074,283077,107435665000,6183,0.602,108089,-1.0,-78.0,,256370,244458,10905,76.8,7.1,5.5,12.2,161.14,88.072,24.5,13.0,,2.5059,2.0368,518.029602,204.095932,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84006099999,56.111767,15.592593,11.104938,20.969136,0.0,,9.45679,67.585296
