key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
ER,2020-01-01,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63330099999,263.420912,16.555556,11.0,20.888889,0.0,,9.777778,64.250945
ER,2020-01-02,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
ER,2020-01-03,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
ER,2020-01-04,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63330099999,263.420912,19.333333,11.611111,22.0,0.0,,10.333333,55.994263
ER,2020-01-05,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63330099999,263.420912,19.0,11.0,22.222222,0.0,,13.055556,68.424124
ER,2020-01-06,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
ER,2020-01-07,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
ER,2020-01-08,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
ER,2020-01-09,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63330099999,263.420912,16.5,10.5,20.0,0.0,,11.444444,72.045202
ER,2020-01-10,ChIJZYW6nT9abRYR-g4SL_AIwhc,Q986,country/ERI,ER,Eritrea,,,,,,,ER,ERI,0,0,0,,,0,0,,,,,,,,,,,,3546427,1777547,1768879,,,,,35113.0,0.44,971770,860625,572236,460764,280842,171950,128327,77082,17189,4297,22831,,,,296961,15.483333,38.25,,117600,122239,366,65.941,5.7,5.1,31.3,276.241,202.445,173.7,23.9,,1.4397,0.0628,32.911999,19.458075,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
