key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
ET,2020-01-01,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,19.055556,9.722222,25.322222,0.0,,9.433333,54.356549
ET,2020-01-02,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63450099999,131.968991,17.555556,9.194444,23.541667,0.0,,9.388889,59.533484
ET,2020-01-03,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,21.638889,12.435185,25.75,0.0,,13.268519,59.474074
ET,2020-01-04,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.544444,13.222222,26.411111,0.0,,10.311111,52.360268
ET,2020-01-05,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.953704,11.537037,26.935185,0.0,,11.138889,53.643518
ET,2020-01-06,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.6,11.933333,26.533333,0.0,,11.922222,57.849864
ET,2020-01-07,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.796296,13.62963,26.083333,0.0,,12.814815,60.746452
ET,2020-01-08,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.422222,12.377778,25.711111,0.0,,9.222222,49.861501
ET,2020-01-09,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.805556,10.962963,26.925926,0.0,,10.962963,53.52608
ET,2020-01-10,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63450099999,131.968991,19.277778,11.611111,25.833333,0.0,,10.583333,58.256666
ET,2020-01-11,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63450099999,131.968991,17.333333,13.0,24.0,0.0,,7.833333,53.633961
ET,2020-01-12,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63450099999,131.968991,15.847222,10.805556,22.194444,0.508,,9.236111,66.799027
ET,2020-01-13,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,17.722222,12.231481,21.537037,0.846667,,12.101852,71.540397
ET,2020-01-14,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,18.555556,10.822222,24.044444,0.0,,10.311111,59.467603
ET,2020-01-15,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,20.066667,8.622222,24.833333,0.0,,7.977778,48.023716
ET,2020-01-16,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,,,,,,,ET,ETH,0,0,0,,,0,0,,,,,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114964.0,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,306948,76737,568477,96107662398,857,0.385,192800,9.0,40.0,,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63453099999,18.427884,17.722222,8.377778,24.644444,0.0,,8.022222,53.586558
