key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
GU,2020-01-01,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.793651,24.611111,28.97619,0.0,,21.037037,71.098025
GU,2020-01-02,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.642857,24.253968,29.246032,0.677333,,20.175926,68.623979
GU,2020-01-03,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.738095,24.452381,29.126984,0.508,,21.324074,72.216861
GU,2020-01-04,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.714286,24.34127,29.134921,0.181429,,21.194444,71.908804
GU,2020-01-05,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.722222,24.293651,29.349206,0.0,,20.666667,69.934311
GU,2020-01-06,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.865079,24.65873,29.055556,0.254,,20.944444,70.176597
GU,2020-01-07,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.365079,24.31746,29.015873,0.1905,,21.333333,74.198511
GU,2020-01-08,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.230159,24.444444,28.690476,0.4572,,22.25,79.308899
GU,2020-01-09,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.206349,24.674603,28.595238,5.969,,23.064815,83.544073
GU,2020-01-10,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.626984,24.944444,28.595238,4.953,,23.231481,82.520754
GU,2020-01-11,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.690476,24.674603,28.84127,2.836333,,23.703704,84.156314
GU,2020-01-12,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.333333,24.396825,28.896825,1.7145,,22.916667,81.911564
GU,2020-01-13,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,,,,,,,GU,GUM,0,0,0,,,0,0,,,,,,,,,,,,168783,85140,83642,8601,158693,,,312561.0,,26980,27161,27031,21835,19936,20164,14331,7781,2692,673,3564,5920000000,35712,,1152532,13.5,144.8,,540,33,515,79.859,,18.7,,79.819,39.075,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91212041415,1.890907,26.293651,23.984127,28.396825,0.719667,,21.611111,76.069206
