key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
ID,2020-01-01,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97120099999,124.28172,28.194444,24.240741,33.083333,4.572,,24.25,79.409041
ID,2020-01-02,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97120099999,124.28172,27.148148,23.777778,31.546296,9.525,,23.796296,82.308019
ID,2020-01-03,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,26.564815,23.62037,31.527778,11.8364,,23.527778,83.476421
ID,2020-01-04,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,28.222222,23.416667,32.305556,1.524,,23.824074,77.210355
ID,2020-01-05,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,27.796296,23.916667,32.268519,1.0668,,23.8,78.180421
ID,2020-01-06,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,27.694444,23.907407,31.805556,4.360333,,23.75,79.2592
ID,2020-01-07,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,,,0,0,,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,28.388889,23.814815,32.935185,2.5908,,23.601852,75.586365
ID,2020-01-08,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,9,3,1,,9,3,1,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,28.740741,24.388889,33.75,0.169333,,23.583333,73.888576
ID,2020-01-09,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,1,23,,9,4,24,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,28.981481,24.75,33.092593,0.0508,,23.777778,73.870299
ID,2020-01-10,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,1,14,,9,5,38,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,28.324074,24.268519,32.194444,9.863667,,24.138889,78.446456
ID,2020-01-11,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,3,8,,9,8,46,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,26.759259,23.518519,30.981481,23.325667,,23.62037,83.137935
ID,2020-01-12,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,3,1,,9,11,47,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,27.037037,23.231481,29.842593,4.6228,,23.194444,79.871007
ID,2020-01-13,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,0,,9,11,47,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,29.166667,23.203704,33.0,0.338667,,23.787037,72.999792
ID,2020-01-14,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,,,,,,,ID,IDN,0,0,0,0,,9,11,47,,,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150987.0,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,1608504,402126,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,97120099999,124.28172,27.675926,24.083333,32.203704,20.828,,24.185185,81.577985
