key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
IN,2020-01-01,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,16.642857,12.095238,20.190476,1.378857,,11.301587,72.710239
IN,2020-01-02,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,16.325397,12.84127,19.079365,6.392333,,13.126984,82.579141
IN,2020-01-03,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,17.674603,13.555556,20.484127,12.657667,,15.674603,88.143746
IN,2020-01-04,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,18.412698,14.626984,22.34127,0.399143,,15.277778,82.162551
IN,2020-01-05,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,17.412698,12.873016,22.087302,0.0,,11.650794,69.406234
IN,2020-01-06,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,17.357143,9.222222,23.920635,0.0,,9.920635,62.26388
IN,2020-01-07,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,18.436508,9.84127,25.103175,0.0,,10.888889,61.903574
IN,2020-01-08,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,18.087302,12.515873,22.674603,2.032,,14.15873,78.400173
IN,2020-01-09,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,17.81746,14.047619,21.206349,16.002,,14.920635,83.245547
IN,2020-01-10,ChIJkbeSa_BfYzARphNChaFPjNc,Q668,country/IND,IN,India,,,,,,,IN,IND,0,0,0,,,0,0,,,,,,,,,,,,1380004385,717100970,662903415,895386226,471031528,29399141,214179435,464149.0,0.64,234861634,252201517,239902073,215636276,169660174,128132230,87150811,39175398,11248168,2812042,13284271,2875142314811,2104,0.44,304716,22.8,83.0,,3287259,2980489,222688,69.416,11.5,10.4,29.9,203.623,147.161,184.3,23.3,,1.7271,0.8571,69.293098,43.239937,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,42693099999,48.184441,15.97619,10.309524,20.849206,0.580571,,9.626984,66.49688
