key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
IO,2020-01-01,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,29.888889,26.777778,34.388889,0.0,,24.722222,73.871456
IO,2020-01-02,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,30.055556,27.222222,34.222222,0.0,,24.944444,74.14436
IO,2020-01-03,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,28.888889,26.0,32.388889,3.556,,24.611111,77.7425
IO,2020-01-04,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,30.277778,27.388889,34.388889,0.254,,25.444444,75.416713
IO,2020-01-05,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,30.166667,26.277778,34.5,0.0,,25.555556,76.40154
IO,2020-01-06,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,28.722222,26.277778,32.111111,6.35,,25.277778,81.681496
IO,2020-01-07,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,30.111111,26.722222,35.388889,0.508,,25.611111,76.898757
IO,2020-01-08,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,28.555556,26.0,34.277778,24.892,,24.666667,79.523831
IO,2020-01-09,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,27.888889,26.222222,31.888889,9.398,,24.444444,81.579075
IO,2020-01-10,ChIJh6OdhOBzkiQR4WsfEHBkT6k,Q43448,country/IOT,IO,British Indian Ocean Territory,,,,,,,IO,IOT,0,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,1993867,-6.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61967070701,175.486048,27.777778,25.777778,29.777778,18.034,,24.555556,82.657791
