key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
IQ,2020-01-01,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,10.388889,5.833333,18.046296,0.0,,4.740741,68.460438
IQ,2020-01-02,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,12.455556,5.583333,18.094444,0.0,,5.483333,62.934153
IQ,2020-01-03,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,13.111111,6.255556,19.6,0.0,,6.244444,63.288202
IQ,2020-01-04,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,11.494444,5.822222,16.966667,0.254,,5.538889,67.327045
IQ,2020-01-05,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,11.265432,4.037037,17.802469,0.0,,4.740741,64.30981
IQ,2020-01-06,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,12.983333,6.055556,19.7,0.0,,5.755556,61.838405
IQ,2020-01-07,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,13.3,4.744444,20.45,0.0,,5.127778,58.199166
IQ,2020-01-08,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,13.197531,8.191358,18.598765,0.056444,,3.030864,50.446289
IQ,2020-01-09,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,12.407407,4.691358,18.055556,0.028222,,3.228395,54.1319
IQ,2020-01-10,ChIJEUr1VD2CVxURAhYGorthpW0,Q796,country/IRQ,IQ,Iraq,,,,,,,IQ,IRQ,0,0,0,,,0,0,,,,,,,,,,,,40222503,20357778,19864725,11526415,27783368,6974439,9877181,92610.0,0.685,10610230,8710757,7165590,5403683,3936620,2341152,1292393,573718,159223,39805,188360,234094042938,5955,0.398,304934,33.0,43.0,,435051,415377,12429,70.454,,8.8,22.5,185.811,129.1,75.1,21.3,,2.0448,0.7079,210.313705,122.072998,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40645099999,58.097629,11.65,7.25,15.961111,0.3302,,5.888889,68.163607
