key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
IR,2020-01-01,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,6.820988,0.654321,14.432099,0.0,,-2.506173,52.227736
IR,2020-01-02,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,6.660494,-1.160494,14.444444,0.0,,-5.41358,42.832198
IR,2020-01-03,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,8.888889,2.123457,14.771605,0.0,,-0.91358,50.463623
IR,2020-01-04,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,7.493827,5.148148,9.91358,2.144889,,3.796296,78.256123
IR,2020-01-05,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,5.969136,0.302469,11.506173,10.893778,,-2.617284,54.689387
IR,2020-01-06,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,4.432099,-1.438272,11.530864,0.0,,-4.444444,53.265889
IR,2020-01-07,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,4.395062,-2.635802,13.475309,0.0,,-4.364198,53.638762
IR,2020-01-08,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,5.030864,-2.376543,13.006173,0.0,,-5.04321,48.913803
IR,2020-01-09,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,5.790123,0.018519,11.277778,1.185333,25.4,-0.993827,64.66264
IR,2020-01-10,ChIJ8R1rwS7s9z4RzvpRntOVsEA,Q794,country/IRN,IR,Iran,,,,,,,IR,IRN,0,0,0,,,0,0,,,,,,,,,,,,83992953,42408405,41584547,20404283,62509623,9013663,21550514,51575.0,0.798,14565856,11747928,12342907,16739446,11655616,8295331,5396905,2354607,618232,154558,894357,445345282122,5520,0.591,304938,32.0,53.0,,1745150,1545056,69242,76.479,11.0,9.6,12.4,83.386,49.574,50.9,14.8,,2.6286,1.5844,475.47995,198.544067,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40818099999,96.19573,4.783951,0.537037,9.358025,8.099778,,0.240741,73.093729
