key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
JE,2020-01-01,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,7.222222,5.833333,8.277778,0.6604,,7.022222,98.660438
JE,2020-01-02,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,9.37963,7.144444,10.688889,0.508,,7.898148,90.55656
JE,2020-01-03,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,9.25,7.148148,10.953704,1.1684,,7.101852,86.4824
JE,2020-01-04,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,8.027778,5.777778,10.12963,0.762,,5.018519,81.324105
JE,2020-01-05,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,7.564815,5.981481,8.574074,0.296333,,4.268519,79.721329
JE,2020-01-06,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,7.055556,3.981481,10.138889,1.016,,5.25,88.335706
JE,2020-01-07,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,10.351852,7.601852,12.601852,1.6256,,9.888889,96.961391
JE,2020-01-08,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,11.398148,10.855556,12.311111,1.524,,11.157407,98.436932
JE,2020-01-09,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,10.666667,7.175926,12.555556,3.8608,,9.555556,92.888114
JE,2020-01-10,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,7.935185,5.796296,9.425926,7.196667,,4.0,76.228341
JE,2020-01-11,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,8.666667,5.87963,10.027778,0.0,,5.796296,82.244394
JE,2020-01-12,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,9.833333,7.546296,11.824074,0.6096,,7.416667,84.942923
JE,2020-01-13,ChIJM3WSjKRSDEgRw2waCqMjnFE,Q785,country/JEY,JE,Jersey,,,,,,,JE,JEY,0,0,0,,,0,0,,,,,,,,,,,,105500,53600,55205,,,,,,,12508,11599,17285,16050,10505,15721,12008,7982,4117,1029,5147,,,,367988,49.19,-2.11,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03895099999,6.56342,8.962963,6.175926,11.407407,0.254,,7.416667,90.125425
