key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
KE,2020-01-01,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.541667,16.513889,28.027778,0.508,,15.25,64.711219
KE,2020-01-02,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.243056,15.777778,27.354167,0.508,,15.944444,68.851739
KE,2020-01-03,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.0625,16.541667,27.277778,2.104571,,16.284722,70.810364
KE,2020-01-04,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.041667,16.173611,26.784722,0.41275,,15.6875,68.306239
KE,2020-01-05,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.881944,16.125,28.597222,0.0,,15.819444,65.468911
KE,2020-01-06,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,23.034722,18.013889,28.104167,2.159,,17.541667,72.14466
KE,2020-01-07,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.270833,17.326389,26.694444,4.862286,,17.673611,76.233898
KE,2020-01-08,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,21.902778,17.75,26.638889,3.52425,,17.416667,76.359286
KE,2020-01-09,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.125,15.944444,27.152778,0.92075,,17.256944,75.344436
KE,2020-01-10,ChIJD5BQg9CAJxgR2W2XobAOO0A,Q114,country/KEN,KE,Kenya,,,,,,,KE,KEN,0,0,0,,,0,0,,,,,,,,,,,,53771300,26718527,27052772,38112450,14461523,4556381,5810192,94478.0,0.548,14013910,12746879,9594274,7470146,4903045,2805603,1518826,574339,179402,44850,144278,95503088538,1816,0.518,192798,0.1,38.0,,580370,576333,4187,66.342,10.7,3.1,30.6,264.72,194.507,78.1,13.4,,1.1656,0.1565,76.610321,18.419661,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63695099999,38.976287,22.680556,16.409722,28.319444,0.127,,16.583333,69.372863
