key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
KP,2020-01-01,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-8.272222,-14.594444,-0.805556,0.0,,-14.55,62.441138
KP,2020-01-02,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-6.961111,-14.061111,0.883333,0.0,,-12.155556,68.264538
KP,2020-01-03,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-5.372222,-11.761111,2.338889,0.0,,-10.994444,66.835763
KP,2020-01-04,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-5.016667,-11.427778,3.105556,0.0,,-10.7,66.76048
KP,2020-01-05,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-4.555556,-11.266667,3.788889,0.0,,-9.044444,71.49907
KP,2020-01-06,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-0.861111,-7.75,2.127778,0.0635,,-4.144444,79.050807
KP,2020-01-07,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,1.416667,-1.288889,3.655556,13.9446,,0.055556,90.774774
KP,2020-01-08,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-0.827778,-4.838889,2.733333,22.013333,,-3.016667,85.20584
KP,2020-01-09,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-5.9,-10.755556,0.927778,1.3208,,-9.138889,78.246477
KP,2020-01-10,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-6.733333,-11.833333,-0.616667,0.0,,-9.916667,79.010168
KP,2020-01-11,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-5.327778,-11.538889,-0.322222,0.0,,-9.255556,74.94598
KP,2020-01-12,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-6.805556,-11.516667,-1.138889,0.254,,-9.794444,79.605216
KP,2020-01-13,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-8.505556,-13.35,-2.733333,0.381,,-13.15,70.853548
KP,2020-01-14,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-8.8,-14.5,-2.627778,0.0508,,-12.5,75.452761
KP,2020-01-15,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-8.833333,-14.433333,-0.905556,0.0254,,-12.894444,73.423253
KP,2020-01-16,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-8.511111,-14.85,0.316667,0.0,,-12.866667,71.671644
KP,2020-01-17,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-6.272222,-13.877778,0.855556,0.0,,-9.944444,75.420466
KP,2020-01-18,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-4.355556,-9.705556,1.927778,0.254,,-7.744444,77.564239
KP,2020-01-19,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-4.077778,-9.977778,1.283333,0.9652,,-8.488889,73.076994
KP,2020-01-20,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-7.138889,-13.35,-0.066667,0.0254,,-12.977778,65.066844
KP,2020-01-21,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-5.844444,-14.588889,0.827778,0.0,,-11.188889,66.972937
KP,2020-01-22,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-2.344444,-7.561111,4.288889,0.0508,,-6.233333,75.704852
KP,2020-01-23,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-1.227778,-7.844444,6.205556,0.0,,-5.844444,71.660851
KP,2020-01-24,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-4.961111,-10.205556,2.75,0.0508,,-10.194444,67.425775
KP,2020-01-25,ChIJN0NP5toCfjURHIYdPhyHCzo,Q423,country/PRK,KP,North Korea,,,,,,,KP,PRK,0,0,0,,,0,0,,,,,,,,,,,,25778815,12608378,13170436,9718749,15947412,3060864,3060864,214092.0,,3430370,3561229,3925715,3641894,3714316,3622786,2134683,1303959,321914,80478,443861,,,,192734,40.0,127.0,,120540,119243,2343,72.095,,6.4,13.7,161.971,95.764,207.2,25.6,,4.4489,3.6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47031099999,46.018493,-3.855556,-9.861111,4.038889,0.3048,,-7.316667,77.197417
