key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
KR,2020-01-01,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,-0.488889,-6.506173,3.87037,0.0,,-5.422222,69.894145
KR,2020-01-02,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,1.861111,-2.894444,5.388889,0.0,,-3.4,68.549224
KR,2020-01-03,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,1.072222,-3.855556,6.994444,0.0,,-5.4,62.7306
KR,2020-01-04,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.320988,-5.888889,7.080247,0.0,,-5.216049,66.906845
KR,2020-01-05,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,1.209877,-5.123457,8.271605,0.0,,-6.728395,56.087381
KR,2020-01-06,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,2.027778,-1.144444,3.55,8.748889,,0.983333,92.836166
KR,2020-01-07,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,7.027778,2.755556,11.644444,36.971111,,5.511111,90.239604
KR,2020-01-08,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,3.711111,0.044444,6.488889,8.9154,,-0.055556,76.736344
KR,2020-01-09,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.138889,-4.683333,5.111111,0.2032,,-4.933333,69.104011
KR,2020-01-10,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.911111,-4.438889,7.172222,0.0,,-5.522222,63.060467
KR,2020-01-11,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,2.209877,-2.438272,6.259259,0.0,,-4.888889,59.698842
KR,2020-01-12,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,1.35,-0.911111,4.333333,0.0,,-6.277778,57.083244
KR,2020-01-13,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.072222,-3.188889,3.405556,0.0,,-8.533333,52.861406
KR,2020-01-14,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,-0.605556,-5.388889,4.755556,0.0508,,-8.422222,56.017261
KR,2020-01-15,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,-1.372222,-6.133333,3.944444,0.0,,-8.972222,56.755708
KR,2020-01-16,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,0,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,-0.144444,-5.361111,5.844444,0.0,,-10.272222,46.755757
KR,2020-01-17,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,5,0,,,5,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.283333,-3.961111,5.755556,0.0,,-8.816667,51.331334
KR,2020-01-18,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,5,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,0.691358,-3.703704,7.493827,0.0,,-9.067901,48.540144
KR,2020-01-19,ChIJm7oRy-tVZDURS9uIugCbJJE,Q884,country/KOR,KR,South Korea,,,,,,,KR,KOR,0,0,0,,,5,0,,,,,,,,,,,,51269183,25665854,25603328,9602379,42106719,9962393,25963874,527298.0,0.898,4153813,4753258,6716294,7079839,8218844,8476699,6453706,3560646,1510872,377718,1856084,1642383217167,31761,0.845,307756,36.0,128.0,,100339,77155,21922,82.626829,23.3,6.9,2.7,79.266,32.342,20.5,7.8,11.5,7.3009,2.3608,2283.074707,768.689453,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47135099999,24.18517,2.711111,-2.961111,6.583333,0.0,,-4.561111,59.490818
