key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LA,2020-01-01,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.672222,19.622222,30.705556,0.0,,18.138889,63.378807
LA,2020-01-02,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.766667,18.883333,31.588889,0.0,,18.038889,62.551019
LA,2020-01-03,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,26.005556,18.594444,32.372222,0.0,,18.083333,61.875634
LA,2020-01-04,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.527778,19.05,31.45,0.0,,17.188889,60.302043
LA,2020-01-05,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.183333,18.622222,31.083333,0.0,,17.422222,62.324977
LA,2020-01-06,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.438889,18.027778,31.877778,0.0,,17.588889,62.141415
LA,2020-01-07,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,26.17284,19.222222,32.87037,0.0,,18.45679,62.770547
LA,2020-01-08,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,26.338889,19.377778,32.711111,0.0,,18.216667,61.285719
LA,2020-01-09,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,26.222222,19.094444,33.083333,0.0,,17.566667,59.495354
LA,2020-01-10,ChIJiUWCsFeQFDERgc2ZH0iSxQ4,Q819,country/LAO,LA,Laos,,,,,,,LA,LAO,0,0,0,,,0,0,,,,,,,,,,,,7275556,3651794,3623762,4613903,2555552,673061,,31523.0,0.601,1566742,1466250,1362625,1086529,772683,526577,317971,136164,33652,8413,40013,18173839128,2534,0.452,49903,18.2,104.0,,236800,227855,1018,67.61,28.9,6.4,37.6,205.59,156.747,188.5,27.0,,0.9522,0.3726,62.124634,28.691248,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,48945099999,41.611875,25.977778,18.461111,32.738889,0.0,,17.277778,59.177352
