key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LB,2020-01-01,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,10.0,6.301587,13.642857,1.8288,,6.619048,79.924085
LB,2020-01-02,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,9.861111,7.375,12.958333,5.7404,,6.993056,82.61501
LB,2020-01-03,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,9.666667,7.229167,12.868056,2.9972,,5.75,77.326269
LB,2020-01-04,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,8.468254,5.68254,10.904762,2.286,,5.674603,83.242898
LB,2020-01-05,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,10.527778,8.472222,13.319444,8.5852,,7.826389,83.978597
LB,2020-01-06,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,10.777778,6.952381,15.031746,3.302,,4.952381,68.05084
LB,2020-01-07,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,10.3125,6.104167,14.347222,0.3175,,4.395833,67.452502
LB,2020-01-08,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,7.791667,5.784722,10.145833,9.4996,,5.805556,87.664363
LB,2020-01-09,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,8.493056,6.770833,10.541667,10.9728,,6.4375,87.4032
LB,2020-01-10,ChIJraoihAIXHxURcPkAbAk0fcw,Q822,country/LBN,LB,Lebanon,,,,,,,LB,LBN,0,0,0,,,0,0,,,,,,,,,,,,6825441,3435745,3389696,770719,6084994,2406875,2406875,667199.0,0.757,1152157,1134997,1176574,1009646,862743,724778,447767,211573,162012,40503,105207,53367042272,7784,0.538,184843,33.833333,35.766667,,10450,8081,2317,78.875,33.8,11.2,6.4,76.205,53.338,51.4,17.9,,1.6735,2.1038,719.443481,238.990112,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,40101099999,7.911633,8.97619,6.0,12.595238,1.9304,,5.079365,77.116354
