key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LC,2020-01-01,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.736111,22.680556,30.4375,1.052286,,22.048611,75.615291
LC,2020-01-02,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.666667,22.381944,30.388889,3.1115,,22.145833,76.418473
LC,2020-01-03,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.243056,22.097222,30.020833,1.016,,21.972222,77.746984
LC,2020-01-04,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,25.180556,19.680556,29.5625,1.306286,,21.992063,79.642062
LC,2020-01-05,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,25.236111,21.8125,29.541667,2.249714,,22.423611,84.613703
LC,2020-01-06,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.166667,22.269841,29.541667,8.54075,,21.902778,77.622135
LC,2020-01-07,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.583333,22.138889,29.951389,1.93675,,21.180556,72.590378
LC,2020-01-08,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,27.034722,22.645833,30.006944,1.016,,21.576389,72.240776
LC,2020-01-09,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.715278,22.97619,30.173611,3.96875,,21.888889,74.989569
LC,2020-01-10,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,26.909722,22.753968,29.833333,5.5245,,20.715278,68.968948
LC,2020-01-11,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,,,,,,,LC,LCA,0,0,0,,,0,0,,,,,,,,,,,,183629,90422,93207,148510,34280,,,301031.0,0.747,21811,24335,32816,28447,25517,23375,14555,8357,3672,918,4415,2122450629,11611,,550728,13.883333,-60.966667,330,620,263,351,76.057,,11.6,14.9,174.722,97.187,30.0,18.8,,3.1547,0.6409,460.068817,205.89505,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,14.939469,25.131944,21.368056,28.729167,3.8735,,21.722222,75.187111
