key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LT,2020-01-01,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,1.785714,-1.055556,3.928571,0.084667,,-0.31746,85.967898
LT,2020-01-02,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,2.920635,0.31746,4.777778,0.145143,,0.571429,84.662606
LT,2020-01-03,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,0.960317,-1.119048,2.984127,0.0,,-2.15873,79.910191
LT,2020-01-04,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,1.920635,-0.150794,4.325397,4.064,,0.142857,88.049562
LT,2020-01-05,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,-0.587302,-3.396825,1.388889,0.0,10.16,-3.253968,82.245384
LT,2020-01-06,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,-0.039683,-3.007937,1.150794,1.481667,10.16,-1.015873,93.184559
LT,2020-01-07,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,1.047619,0.861111,1.730159,0.084667,10.16,0.420635,95.649703
LT,2020-01-08,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,1.873016,0.103175,4.301587,2.116667,,0.460317,90.425646
LT,2020-01-09,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,3.365079,1.714286,5.150794,0.254,,1.992063,90.756867
LT,2020-01-10,ChIJE74zDxSU3UYRubpdpdNUCvM,Q37,country/LTU,LT,Lithuania,,,,,,,LT,LTU,0,0,0,,,0,0,,,,,,,,,,,,2794184,1295591,1498593,895831,1891013,537563,,44.7,0.839,292389,266287,345322,350470,374254,425044,343396,235483,132198,33049,161539,53411968400,19116,0.712,72596,55.2,24.0,,65286,59360,4610,76.0,28.8,3.8,3.3,212.885,78.821,34.0,20.7,,9.8472,6.3528,1078.179199,347.969543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26629599999,26.802286,5.230159,1.952381,6.904762,9.313333,,4.81746,97.201303
