key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LU,2020-01-01,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,-0.183333,-2.583333,3.027778,0.03175,10.16,-1.35,92.06423
LU,2020-01-02,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,0.361111,-2.988889,4.272222,0.290286,10.16,-0.088889,96.837634
LU,2020-01-03,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,5.316667,2.655556,7.194444,2.902857,,4.694444,95.79268
LU,2020-01-04,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,2.433333,0.833333,3.733333,2.431143,,1.511111,93.66901
LU,2020-01-05,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,3.15,2.083333,4.055556,0.145143,,1.727778,90.471642
LU,2020-01-06,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,1.183333,-1.416667,4.383333,0.0,,-0.766667,87.07779
LU,2020-01-07,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,3.505556,0.222222,5.088889,0.798286,,2.8,95.18411
LU,2020-01-08,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,6.45,2.955556,8.472222,1.608667,,6.038889,97.253127
LU,2020-01-09,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,8.527778,7.172222,9.516667,8.551333,,7.927778,96.052624
LU,2020-01-10,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,5.177778,2.194444,7.394444,5.842,,4.222222,93.587219
LU,2020-01-11,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,2.011111,0.422222,3.538889,0.03175,,0.561111,90.188588
LU,2020-01-12,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,2.4,-0.183333,4.833333,0.804333,,1.488889,93.765682
LU,2020-01-13,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,4.483333,3.466667,6.072222,1.312333,,3.805556,95.421934
LU,2020-01-14,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,6.472222,4.9,8.538889,1.989667,,3.655556,82.550841
LU,2020-01-15,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,7.883333,5.655556,10.083333,0.616857,,4.411111,78.863336
LU,2020-01-16,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,6.855556,4.055556,9.522222,0.254,,4.805556,86.88783
LU,2020-01-17,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,5.265432,2.265432,6.796296,2.455333,,3.376543,87.678497
LU,2020-01-18,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,1.45679,-0.549383,3.487654,0.580571,,-0.037037,89.836774
LU,2020-01-19,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,0.777778,-1.283951,2.580247,0.465667,,-0.407407,91.834561
LU,2020-01-20,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,0.438889,-2.005556,2.922222,0.8636,10.16,-1.55,86.667797
LU,2020-01-21,ChIJRyEhyrlFlUcR75LTAvZg22Q,Q32,country/LUX,LU,Luxembourg,,,,,,,LU,LUX,0,0,0,,,0,0,,,,,,,,,,,,613894,308720,305174,54408,565488,,,235.1,0.892,65947,65866,84163,95974,92360,87825,60143,37334,19619,4904,24282,70862634400,116348,0.692,2171347,49.77,6.13,,2590,1782,801,82.3,23.5,5.0,1.9,66.343,41.193,11.6,10.0,4.8,12.1744,3.009,5782.628418,618.136414,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,06590099999,16.96467,-0.627778,-3.955556,4.3,0.0508,,-3.883333,78.822907
