key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LV,2020-01-01,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,1.777778,-0.493827,3.771605,0.0,,-0.462963,85.129581
LV,2020-01-02,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,3.851852,1.777778,4.987654,0.0,,1.932099,87.295616
LV,2020-01-03,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,2.061728,0.895062,3.061728,0.0,,0.962963,92.463779
LV,2020-01-04,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,2.32716,1.098765,3.388889,0.3175,,0.185185,85.835025
LV,2020-01-05,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,-0.518519,-2.753086,0.975309,0.254,20.32,-3.759259,79.15126
LV,2020-01-06,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,0.654321,-1.382716,1.611111,0.635,50.8,0.049383,95.734069
LV,2020-01-07,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,2.024691,1.691358,2.364198,0.127,10.16,1.654321,97.411689
LV,2020-01-08,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,2.635802,1.444444,5.111111,0.381,,1.617284,93.046286
LV,2020-01-09,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,3.185185,1.796296,5.024691,0.03175,,1.388889,88.007155
LV,2020-01-10,ChIJ_ZqKe2cw6UYREPzyaM3PAAA,Q211,country/LVA,LV,Latvia,,,,,,,LV,LVA,0,0,0,,,0,0,,,,,,,,,,,,1919968,884909,1035059,607846,1304943,633820,,30.4,0.819,204389,189618,210869,266944,258763,270667,240208,170997,117346,29336,107513,34398215400,17818,0.724,72594,57.0,25.0,,64490,60137,3278,75.1,37.0,5.0,3.3,228.584,85.367,41.3,21.9,,4.7517,3.1905,930.352356,390.632446,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26435099999,39.763134,2.75,1.522222,3.95,0.564444,,2.45,97.893132
