key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
LY,2020-01-01,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,9.611111,5.0,14.111111,0.254,,1.944444,58.826162
LY,2020-01-02,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,11.944444,5.388889,15.5,0.254,,4.833333,61.757872
LY,2020-01-03,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
LY,2020-01-04,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
LY,2020-01-05,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,14.111111,9.0,17.5,0.0,,-0.333333,37.106642
LY,2020-01-06,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,13.166667,6.5,15.722222,0.0,,3.222222,50.908091
LY,2020-01-07,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,
LY,2020-01-08,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,11.222222,3.5,15.5,0.0,,1.666667,51.795724
LY,2020-01-09,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,14.0,10.5,17.0,0.0,,4.388889,52.343867
LY,2020-01-10,ChIJDQHOjtmSqBMRKsL5x0FgB_o,Q1016,country/LBY,LY,Libya,,,,,,,LY,LBY,0,0,0,,,0,0,,,,,,,,,,,,6871286,3468737,3402550,1328855,5448597,1160918,1160918,3905.0,0.706,1285421,1185744,1095416,1163468,1049200,617154,284259,138926,42723,10680,51698,52076250947,7683,,192758,27.0,17.0,,1759540,1606874,10082,72.724,,10.2,10.2,179.566,99.334,71.9,20.1,,6.5305,2.0905,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62131099999,257.036573,15.166667,12.222222,17.388889,0.0,,5.277778,51.650946
