key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
MC,2020-01-01,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,8.888889,5.626984,13.222222,0.0,,2.603175,66.595335
MC,2020-01-02,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,7.539683,4.5,11.587302,0.036286,,2.801587,72.162034
MC,2020-01-03,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,7.880952,5.484127,11.174603,0.0,,3.928571,76.350042
MC,2020-01-04,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,9.579365,5.261905,13.912698,0.0,,2.865079,65.176258
MC,2020-01-05,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,9.34127,5.769841,13.825397,0.0,,2.746032,64.855665
MC,2020-01-06,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,7.214286,3.833333,11.293651,0.036286,,2.952381,74.921712
MC,2020-01-07,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,7.015873,4.396825,10.515873,0.0,,3.079365,76.388569
MC,2020-01-08,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,8.619048,4.214286,14.103175,0.0,,0.214286,55.750787
MC,2020-01-09,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,7.444444,4.119048,11.793651,0.0,,2.428571,71.367053
MC,2020-01-10,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,6.698413,3.388889,9.357143,0.0,,3.603175,81.217674
MC,2020-01-11,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,8.342593,4.925926,13.407407,0.719667,,3.268519,70.666687
MC,2020-01-12,ChIJMYU_e2_CzRIR_JzEOkx493Q,Q235,country/MCO,MC,Monaco,,,,,,,MC,MCO,0,0,0,,,0,0,,,,,,,,,,,,39244,11648,12406,0,38964,,,26338255.0,,1599,2211,2292,2094,2662,3531,3488,3275,2322,580,2903,7188238072,185829,,36990,43.733333,7.416667,,2,0,1,,,2.9,2.6,,,,,,,,2932.421875,201.980484,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,07690099999,18.18362,8.015873,4.460317,12.880952,0.036286,,0.984127,61.834326
