key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
MH,2020-01-01,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,,,,,,,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,29.166667,27.018519,30.351852,0.677333,,25.333333,79.870935
MH,2020-01-02,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.925926,27.388889,30.574074,1.185333,,24.462963,76.893505
MH,2020-01-03,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.819444,26.083333,30.833333,1.905,,24.694444,78.50475
MH,2020-01-04,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.611111,27.092593,30.5,0.084667,,24.425926,78.139497
MH,2020-01-05,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.583333,26.652778,30.694444,1.143,,25.013889,81.066499
MH,2020-01-06,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.574074,26.722222,31.888889,6.265333,,25.277778,82.417973
MH,2020-01-07,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.555556,26.907407,30.722222,3.302,,25.148148,81.843282
MH,2020-01-08,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.185185,25.740741,29.851852,43.942,,24.314815,79.570351
MH,2020-01-09,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,28.888889,26.592593,29.888889,0.0,,23.962963,74.780882
MH,2020-01-10,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,,,,,,,MH,MHL,0,0,0,,,0,0,,,,,,,,,,,,59193,28373,27502,13277,45514,,,328856.0,0.708,12296,11723,8779,9206,5768,3943,2748,1112,240,60,301,221278000,3788,,571771,7.116667,171.066667,,180,284,0,65.23902,,30.5,27.4,,,,,,3.339,,642.199158,79.719673,,,,,,,,,,,,,,,,,,,,,,,,,,,91369199999,8.223726,27.907407,25.814815,29.925926,25.230667,,24.796296,83.224728
