key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
ML,2020-01-01,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,22.333333,13.5,30.722222,0.0,,-1.277778,20.670957
ML,2020-01-02,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,20.277778,13.277778,30.722222,0.0,,-1.722222,22.694114
ML,2020-01-03,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,19.444444,11.888889,25.611111,0.0,,-1.888889,23.605604
ML,2020-01-04,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,20.277778,10.777778,27.0,0.0,,-1.888889,22.417401
ML,2020-01-05,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,20.555556,12.5,28.388889,0.0,,1.333333,27.852201
ML,2020-01-06,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,21.166667,12.0,29.5,0.0,,1.5,27.147125
ML,2020-01-07,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,21.388889,12.111111,31.111111,0.0,,3.555556,30.989926
ML,2020-01-08,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,23.5,13.5,32.722222,0.0,,3.777778,27.687917
ML,2020-01-09,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,24.777778,17.388889,33.222222,0.0,,5.833333,29.596749
ML,2020-01-10,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,24.0,19.0,30.0,0.0,,2.888889,25.233589
ML,2020-01-11,ChIJz3MQG4g-FA4RgM-9oOJbOrs,Q912,country/MLI,ML,Mali,,,,,,,ML,MLI,0,0,0,,,0,0,,,,,,,,,,,,20250834,10145174,10105660,11178343,8479688,2529328,2529328,16596.0,0.427,6760319,5009462,3203818,2160455,1485961,849119,501291,231083,44821,11205,49326,17510141171,890,0.317,192785,17.0,-4.0,,1240190,1243208,2910,58.893,12.3,2.4,62.0,263.613,244.756,209.1,24.6,,0.3585,0.1286,31.378105,11.017797,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61265099999,276.761103,23.388889,17.777778,30.277778,0.0,,0.222222,21.62893
