key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
MU,2020-01-01,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,25.847222,22.888889,30.055556,6.858,,23.611111,87.767006
MU,2020-01-02,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,26.277778,23.319444,29.486111,1.016,,23.263889,83.76503
MU,2020-01-03,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,22.958333,23.138889,28.138889,1.693333,,22.703704,91.251406
MU,2020-01-04,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,21.652778,16.5,28.125,9.398,,22.814815,89.484169
MU,2020-01-05,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,22.930556,16.37037,27.472222,26.416,,22.481481,92.296981
MU,2020-01-06,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,25.791667,19.125,30.097222,51.7525,,23.083333,85.220318
MU,2020-01-07,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,26.902778,23.513889,30.277778,9.525,,23.652778,82.487339
MU,2020-01-08,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,26.263889,23.694444,29.875,1.143,,22.916667,81.937053
MU,2020-01-09,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,25.541667,22.388889,29.0,0.762,,20.513889,73.80188
MU,2020-01-10,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,,,,,,,MU,MUS,0,0,0,,,0,0,,,,,,,,,,,,1271767,627480,644286,749731,515980,,,626486.0,0.79,132886,175164,196809,175108,182090,175349,137990,69213,21743,5435,27158,14180444557,11203,0.626,535828,-20.2,57.5,,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61995099999,11.643878,25.027778,20.555556,29.0,0.0,,19.75,72.620025
