key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
MY,2020-01-01,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.851852,25.722222,30.222222,0.762,,24.62963,82.699506
MY,2020-01-02,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.462963,25.5,29.907407,1.608667,,24.925926,86.3028
MY,2020-01-03,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.314815,25.222222,29.740741,0.508,,24.611111,85.219172
MY,2020-01-04,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.703704,25.648148,29.740741,4.064,,24.537037,83.01637
MY,2020-01-05,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,26.648148,25.074074,29.962963,5.418667,,24.0,85.613682
MY,2020-01-06,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,26.333333,24.037037,29.148148,8.636,,24.444444,89.420585
MY,2020-01-07,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,26.962963,24.222222,29.333333,3.048,,24.666667,87.288311
MY,2020-01-08,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.814815,23.796296,29.87037,4.656667,,24.685185,83.145216
MY,2020-01-09,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.666667,25.333333,30.037037,3.556,,24.907407,84.994055
MY,2020-01-10,ChIJrzBnX5fTNDAR2BwhKJOWRQc,Q833,country/MYS,MY,Malaysia,,,,,,,MY,MYS,0,0,0,,,0,0,,,,,,,,,,,,32365998,16630813,15735185,7474011,24475766,7780301,7780301,98512.0,0.802,5143189,5115769,5770368,5651218,3990533,3146037,2151365,1025181,280888,70222,372338,364701517787,11414,0.622,2108121,3.0,108.0,,330345,312833,15564,75.997,21.5,16.7,6.7,160.383,84.296,47.4,17.2,1.9,3.4676,1.5358,384.066071,145.74231,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96147099999,109.902462,27.722222,25.277778,30.037037,0.846667,,24.62963,83.331505
