key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
NC,2020-01-01,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.033333,20.8,30.022222,0.0508,,18.666667,68.008577
NC,2020-01-02,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.033333,20.811111,29.622222,0.0,,18.377778,66.719726
NC,2020-01-03,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.788889,20.677778,29.588889,0.0,,19.3,67.582502
NC,2020-01-04,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,26.133333,22.711111,30.088889,0.0,,19.322222,66.288303
NC,2020-01-05,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,26.611111,22.477778,30.222222,0.0,,20.277778,68.545678
NC,2020-01-06,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.013889,20.180556,29.944444,0.0635,,20.0,73.861911
NC,2020-01-07,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.125,19.763889,30.222222,0.0635,,18.902778,68.709484
NC,2020-01-08,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.541667,20.458333,30.125,0.0,,19.138889,68.111948
NC,2020-01-09,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,26.7,22.533333,30.5,0.3048,,21.044444,71.748752
NC,2020-01-10,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,24.8,20.288889,28.355556,9.0932,,22.875,83.853848
NC,2020-01-11,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,22.677778,18.377778,28.805556,2.7432,,22.777778,85.130773
NC,2020-01-12,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.777778,24.722222,29.388889,12.5984,,22.233333,81.378736
NC,2020-01-13,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,27.177778,24.311111,30.377778,0.0,,21.633333,72.178981
NC,2020-01-14,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,26.291667,24.0,29.986111,0.3175,,22.444444,79.544379
NC,2020-01-15,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,26.666667,24.069444,30.472222,0.4445,,22.319444,77.353659
NC,2020-01-16,ChIJyzIaP2niJ2wR7HqT1Y_20PY,Q33788,country/NCL,NC,New Caledonia,,,,,,,NC,NCL,0,0,0,,,0,0,,,,,,,,,,,,285491,143498,141993,83163,204637,,,15618.0,,41314,43203,43192,41491,40823,34951,22795,13303,5007,1251,4419,,,,3407643,-21.25,165.3,,18580,18564,208,77.14878,,21.8,,98.003,56.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91590099999,127.08906,25.791667,23.814815,29.888889,1.651,,21.472222,77.11543
