key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
NG,2020-01-01,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,24.411111,17.555556,31.6,0.0,,4.477778,27.708021
NG,2020-01-02,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,21.466667,17.255556,26.4,0.0,,2.144444,27.982286
NG,2020-01-03,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,23.037037,14.62963,31.259259,0.0,,5.0,31.060757
NG,2020-01-04,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,21.944444,15.944444,29.402778,0.0,,3.763889,30.524652
NG,2020-01-05,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,22.355556,15.744444,28.0,0.0,,5.966667,35.26192
NG,2020-01-06,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,23.233333,17.3,30.933333,0.0,,7.511111,37.321422
NG,2020-01-07,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,24.088889,18.6,31.044444,0.0,,8.2,36.704205
NG,2020-01-08,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,27.675926,20.935185,34.324074,0.0,,7.25,28.683378
NG,2020-01-09,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,27.044444,20.244444,33.877778,0.0,,6.922222,28.213704
NG,2020-01-10,ChIJDY2kfa8LThARyAvFaEH-qJk,Q1033,country/NGA,NG,Nigeria,,,,,,,NG,NGA,0,0,0,,,0,0,,,,,,,,,,,,206139587,104469636,101669950,98156651,102806948,13903620,33486829,226336.0,0.532,63852441,47703190,33177419,24368050,17037461,10700171,6258526,2623703,644436,161109,418626,448120428858,2229,0.342,192787,9.0,8.0,,923770,880103,17196,54.332,5.8,3.1,75.7,364.321,324.961,307.4,22.5,,1.1792,0.3806,73.92498,57.088425,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,65112599999,80.970068,27.425926,18.638889,34.888889,0.0,,10.12963,34.293137
