key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
NO,2020-01-01,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,6.808642,3.438272,8.030864,24.426333,240.03,4.902778,88.377122
NO,2020-01-02,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,6.648148,4.469136,8.382716,16.51,110.49,4.833333,89.341047
NO,2020-01-03,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,2.185185,-0.339506,5.283951,11.853333,139.7,-1.229167,79.059637
NO,2020-01-04,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,1.444444,-0.814815,4.228395,8.297333,154.94,-2.222222,77.406839
NO,2020-01-05,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,1.833333,-1.790123,5.12963,3.302,234.95,-0.111111,89.541699
NO,2020-01-06,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,5.222222,3.185185,7.104938,8.509,309.88,3.722222,92.084218
NO,2020-01-07,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,4.407407,2.135802,6.944444,4.741333,234.95,1.555556,84.009969
NO,2020-01-08,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,4.222222,1.765432,7.154321,3.852333,219.71,1.041667,80.800834
NO,2020-01-09,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,2.62963,0.839506,4.469136,9.694333,304.8,-0.3125,82.367425
NO,2020-01-10,ChIJv-VNj0VoEkYRK9BkuJ07sKE,Q20,country/NOR,NO,Norway,,,,,,,NO,NOR,0,0,0,,,0,0,,,,,,,,,,,,5328212,2685073,2643139,929678,4418218,1026758,1026758,17.2,0.957,614916,640541,712419,717369,728639,691744,576747,419838,183150,45787,225999,403336363636,75419,0.771,1059668,65.0,11.0,,625217,292187,20282,82.8,20.2,5.3,2.1,62.494,38.861,8.6,9.2,,18.2248,2.9164,7936.375,1125.162598,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,01282099999,19.975205,2.901235,1.067901,4.061728,3.090333,530.86,1.090278,89.908834
