key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
OM,2020-01-01,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,20.47619,14.753968,26.642857,0.036286,,9.769841,51.312773
OM,2020-01-02,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,21.119048,14.904762,27.761905,0.072571,,10.547619,52.303441
OM,2020-01-03,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,21.357143,15.293651,27.555556,0.0,,12.698413,59.164961
OM,2020-01-04,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41291099999,178.353294,22.055556,16.555556,26.407407,0.0,,14.666667,64.267839
OM,2020-01-05,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,21.269841,16.357143,26.563492,0.036286,,15.206349,68.808426
OM,2020-01-06,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,21.785714,17.238095,26.904762,0.0,,16.365079,71.493737
OM,2020-01-07,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,21.015873,16.063492,27.269841,0.036286,,10.484127,51.563358
OM,2020-01-08,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,20.277778,14.142857,25.65873,0.0,,9.968254,52.091733
OM,2020-01-09,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,20.650794,15.738095,25.52381,0.0,,13.34127,63.058507
OM,2020-01-10,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,20.261905,17.047619,24.166667,1.233714,,15.698413,75.402089
OM,2020-01-11,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,20.579365,17.103175,24.785714,5.406571,,16.261905,76.849511
OM,2020-01-12,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,16.579365,12.81746,20.65873,0.653143,,4.333333,46.232452
OM,2020-01-13,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,16.18254,9.849206,22.071429,0.0,,5.087302,48.82433
OM,2020-01-14,ChIJv5vVqWaf1j0RF6ixZXZMBjo,Q842,country/OMN,OM,Oman,,,,,,,OM,OMN,0,0,0,,,0,0,,,,,,,,,,,,5106622,3370230,1736392,724209,4250777,1501635,1501635,16500.0,0.821,832573,530304,1085543,1439820,684969,315600,142787,53058,12792,3198,21967,76983094928,15474,0.622,305138,21.0,57.0,,309500,307667,5651,77.633,11.1,10.1,9.8,101.388,63.183,53.9,17.8,,4.1965,2.0031,587.646301,39.328762,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41301099999,123.679323,15.825397,9.992063,22.412698,0.072571,,5.761905,52.183111
