key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
PG,2020-01-01,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,29.166667,24.0,32.0,,,22.444444,67.135487
PG,2020-01-02,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,30.0,25.0,34.0,0.0,,23.555556,68.438191
PG,2020-01-03,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,28.611111,24.0,34.0,,,22.777778,70.748314
PG,2020-01-04,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,28.888889,24.0,32.0,,,24.222222,75.952977
PG,2020-01-05,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,29.055556,24.5,33.0,0.0,,22.388889,67.340491
PG,2020-01-06,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,28.111111,24.0,32.111111,,,22.777778,72.835684
PG,2020-01-07,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,29.222222,24.611111,32.25,3.556,,23.694444,72.240046
PG,2020-01-08,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,27.111111,24.0,31.0,0.0,,,
PG,2020-01-09,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,29.777778,24.0,33.5,0.0,,23.055556,67.256815
PG,2020-01-10,,Q691,country/PNG,PG,Papua New Guinea,,,,,,,PG,PNG,0,0,0,,,0,0,,,,,,,,,,,,8947027,4568072,4378955,7613275,1162834,374517,,19757.0,0.555,2150348,1917883,1554184,1220537,938384,629119,372086,136655,42359,10589,27831,24969611434,2845,0.384,307866,-6.3,147.0,,462840,459445,2003,64.263,36.3,17.9,38.0,251.144,187.7,152.0,30.0,,0.4548,0.0699,61.45784,5.530311,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,92047099999,42.650923,28.444444,24.722222,31.0,,,23.944444,76.648285
