key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
PW,2020-01-01,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,26.833333,23.888889,29.0,4.572,,24.555556,87.362202
PW,2020-01-02,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.5,25.611111,29.0,0.508,,22.777778,75.481748
PW,2020-01-03,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.222222,25.611111,29.388889,0.0,,22.611111,75.948419
PW,2020-01-04,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.166667,25.0,29.388889,0.0,,22.611111,76.196321
PW,2020-01-05,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.111111,25.611111,30.0,0.254,,24.555556,85.947965
PW,2020-01-06,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.388889,25.0,29.388889,2.54,,23.555556,79.631534
PW,2020-01-07,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.166667,24.388889,30.0,1.524,,23.277778,79.334895
PW,2020-01-08,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.5,24.388889,30.0,1.524,,23.277778,77.800321
PW,2020-01-09,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.444444,25.0,30.0,0.0,,23.111111,77.271514
PW,2020-01-10,ChIJmQOvorRFhDIRu-uhOd0e7RI,Q695,country/PLW,PW,Palau,,,,,,,PW,PLW,0,0,0,,,0,0,,,,,,,,,,,,18092,14679,13759,3517,14491,,,39330.0,0.798,3217,4437,4722,4286,3960,3859,2245,1046,532,133,665,283994900,15859,,571805,7.466667,134.55,,460,448,30,69.12927,15.6,17.9,16.6,,,,,,7.2626,,1596.362915,246.750183,,,,,,,,,,,,,,,,,,,,,,,,,,,91408040310,11.10568,27.222222,25.0,31.722222,0.0,,23.777778,81.496543
