key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
QA,2020-01-01,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,20.005556,16.288889,23.611111,0.0,,12.477778,62.40068
QA,2020-01-02,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,20.25,17.061111,22.938889,0.0,,13.038889,63.505175
QA,2020-01-03,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,22.233333,17.85,26.888889,0.0,,14.95,63.954649
QA,2020-01-04,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,23.538889,18.961111,29.216667,0.0,,11.227778,46.319182
QA,2020-01-05,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,18.261111,15.494444,22.316667,1.989667,,13.511111,73.998257
QA,2020-01-06,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,18.177778,14.727778,21.277778,2.6162,,9.727778,57.953159
QA,2020-01-07,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,17.666667,13.961111,21.627778,0.0,,10.638889,63.510442
QA,2020-01-08,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,17.883333,12.911111,22.016667,0.0,,10.538889,62.343082
QA,2020-01-09,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,18.472222,15.25,21.161111,0.73025,,13.333333,72.156788
QA,2020-01-10,ChIJf-jc_zTFRT4RMkArgc-I-hw,Q846,country/QAT,QA,Qatar,,,,,,,QA,QAT,0,0,0,,,0,0,,,,,,,,,,,,2881060,2165135,715925,22996,2809071,715997,,248153.0,0.856,270536,228400,717371,846180,461800,254160,81796,16725,11170,2792,4091,183466208791,64781,0.615,305095,25.269535,51.212767,,11610,9779,1495,80.1,20.6,15.6,5.8,41.498,31.873,47.4,15.3,,7.2628,2.4852,1649.186157,146.821411,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41170599999,19.842823,19.3,16.433333,21.177778,3.937,,16.488889,83.894494
