key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
RO,2020-01-01,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-2.883333,-5.955556,-0.283333,0.254,69.85,-5.427778,82.917901
RO,2020-01-02,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-3.5,-7.294444,0.894444,0.0,556.26,-6.283951,80.989914
RO,2020-01-03,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-4.144444,-8.255556,1.972222,0.0,523.24,-8.969136,73.213679
RO,2020-01-04,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-4.122222,-9.416667,0.688889,0.0,499.533333,-6.907407,81.230473
RO,2020-01-05,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-3.233333,-4.45,-1.533333,1.27,45.085,-5.116667,86.973313
RO,2020-01-06,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-6.377778,-11.733333,-1.577778,0.60325,48.26,-8.577778,84.587626
RO,2020-01-07,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-9.788889,-14.161111,-4.616667,0.0,306.916667,-11.783951,84.117074
RO,2020-01-08,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-9.044444,-13.094444,-3.35,0.0,358.14,-12.179012,77.952474
RO,2020-01-09,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-7.111111,-12.616667,-2.311111,0.056444,427.355,-10.314815,78.638689
RO,2020-01-10,ChIJw3aJlSb_sUARlLEEqJJP74Q,Q218,country/ROU,RO,Romania,,,,,,,RO,ROU,0,0,0,,,0,0,,,,,,,,,,,,19414458,9500450,9914008,8887751,10468793,1812290,1812290,83.1,0.793,1986149,2092528,2143243,2718256,3061663,2475964,2547260,1482997,1297094,324273,906398,241475766400,12390,0.601,90689,46.0,25.0,,238400,219047,15594,75.3,29.7,6.9,6.1,171.82,73.319,59.3,21.4,,7.3891,2.9807,555.104736,113.73011,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15235099999,19.285373,-0.122222,-4.061111,5.311111,0.0254,295.656,-3.25,79.599118
