key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
RW,2020-01-01,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,23.888889,17.320988,28.092593,0.225778,,16.524691,63.820059
RW,2020-01-02,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,24.376543,17.697531,28.333333,0.0,,15.993827,60.118721
RW,2020-01-03,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,23.625,16.875,27.416667,0.108857,,16.458333,64.755587
RW,2020-01-04,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,22.349206,17.079365,26.825397,1.669143,,16.849206,71.323526
RW,2020-01-05,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,22.571429,17.539683,26.492063,16.582571,,17.460317,73.050727
RW,2020-01-06,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,21.246914,16.555556,25.012346,2.8575,,16.728395,75.700429
RW,2020-01-07,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,21.283951,15.932099,25.845679,1.016,,16.845679,76.011382
RW,2020-01-08,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,20.851852,16.388889,25.641975,7.507111,,17.160494,79.451674
RW,2020-01-09,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,21.055556,16.398148,25.62963,5.461,,16.796296,76.90184
RW,2020-01-10,ChIJ40A451SWwhkRA6HMyyawkHQ,Q1037,country/RWA,RW,Rwanda,,,,,,,RW,RWA,0,0,0,,,0,0,,,,,,,,,,,,12952208,6367431,6584778,10440846,2186104,1094796,1094796,525019.0,0.524,3561023,2905795,2211043,1812554,1070094,728447,445154,174817,39454,9863,43282,10122472590,801,0.374,171496,-1.940278,29.873889,,26340,,,68.7,12.3,5.1,27.0,216.342,161.59,121.4,18.2,,1.2044,0.134,49.204456,3.074294,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64387099999,29.643748,21.777778,15.907407,26.524691,3.640667,,16.962963,74.279614
