key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
SB,2020-01-01,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.851852,24.037037,32.925926,0.0,,23.833333,74.370164
SB,2020-01-02,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.87037,24.537037,32.740741,0.338667,,24.111111,75.57025
SB,2020-01-03,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.611111,23.5,33.0,0.0,,24.305556,77.590351
SB,2020-01-04,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.87037,24.833333,32.703704,6.011333,,24.611111,77.867986
SB,2020-01-05,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.416667,24.388889,33.888889,0.0,,24.444444,79.112199
SB,2020-01-06,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,29.462963,25.796296,33.166667,1.185333,,25.333333,78.704798
SB,2020-01-07,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,29.407407,25.537037,33.203704,0.677333,,24.444444,74.723346
SB,2020-01-08,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,28.296296,24.259259,33.648148,35.644667,,24.814815,81.509835
SB,2020-01-09,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,26.805556,24.305556,31.0,1.397,,24.583333,87.678926
SB,2020-01-10,ChIJ0QlQVeBR02gRgClEF6DATLQ,Q685,country/SLB,SB,Solomon Islands,,,,,,,SB,SLB,0,0,0,,,0,0,,,,,,,,,,,,686878,349261,337616,507659,162164,,,24540.0,0.546,196170,148825,111830,82050,68670,40695,22978,11993,2388,597,3667,1425074225,2127,0.443,1857436,-9.466667,159.816667,,28900,28264,72,72.835,,19.0,17.1,162.895,124.818,137.0,23.8,,2.1642,0.1937,101.239868,5.466105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91517099999,17.395516,27.25,24.055556,33.083333,14.859,,24.361111,84.265678
