key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
SJ,2020-01-01,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-15.95,-19.15,-13.716667,0.1016,229.87,-18.364198,77.426811
SJ,2020-01-02,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-16.933333,-19.316667,-14.638889,0.0508,237.49,-20.302469,69.619717
SJ,2020-01-03,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-17.305556,-19.855556,-14.961111,0.0254,227.33,-20.919753,70.46355
SJ,2020-01-04,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-15.727778,-18.638889,-14.2,0.0,227.33,-19.555556,71.944257
SJ,2020-01-05,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-16.961111,-18.961111,-14.95,0.0,224.79,-19.907407,75.88683
SJ,2020-01-06,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-15.733333,-19.483333,-12.733333,0.0,224.79,-19.864198,69.680077
SJ,2020-01-07,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-9.394444,-15.766667,-3.805556,0.254,231.775,-12.481481,77.095165
SJ,2020-01-08,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-2.488889,-6.233333,-0.833333,0.0254,210.185,-4.746914,81.734395
SJ,2020-01-09,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-9.888889,-13.683333,-4.761111,0.0254,379.73,-12.925926,75.776085
SJ,2020-01-10,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-15.922222,-18.188889,-12.961111,0.0,270.933333,-20.117284,68.874216
SJ,2020-01-11,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-18.283333,-20.216667,-16.85,0.0,273.473333,-22.444444,68.196785
SJ,2020-01-12,ChIJgQmY0JVjd0URQdKkzJ42A4U,Q842829,country/SJM,SJ,Svalbard and Jan Mayen,,,,,,,SJ,SJM,0,,,,,,,,,,,,,,,,,,,1731,1391,,,,,,,346,257,517,734,611,476,161,17,2,0,3,,,,3245620,78.635166,21.993908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01006099999,46.602387,-20.016667,-21.705556,-18.322222,0.0,273.473333,-23.802469,68.998164
