key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
TJ,2020-01-01,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-2.125,-6.527778,1.472222,0.036286,90.17,-7.673611,65.88383
TJ,2020-01-02,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-1.388889,-3.777778,1.208333,0.798286,91.44,-4.986111,77.05991
TJ,2020-01-03,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-2.041667,-3.965278,0.541667,4.445,107.696,-4.208333,85.586354
TJ,2020-01-04,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-3.361111,-6.569444,1.423611,0.254,124.46,-8.652778,68.694295
TJ,2020-01-05,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-4.256944,-7.770833,-0.826389,0.0,123.444,-10.513889,62.4244
TJ,2020-01-06,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-3.722222,-5.256944,-1.013889,4.209143,123.613333,-5.541667,87.620902
TJ,2020-01-07,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-4.930556,-9.277778,-0.708333,13.36675,169.756667,-8.055556,79.498601
TJ,2020-01-08,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.1875,-12.083333,-2.472222,0.0,267.425714,-13.895833,64.458572
TJ,2020-01-09,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.034722,-12.486111,-1.8125,0.0,143.51,-15.263889,56.693104
TJ,2020-01-10,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-6.263889,-10.375,-2.305556,0.0,136.736667,-13.006944,59.918853
TJ,2020-01-11,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-3.256944,-7.847222,-0.138889,0.0,126.576667,-8.451389,67.996897
TJ,2020-01-12,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-1.847222,-4.006944,0.180556,5.55625,139.3825,-3.326389,89.739091
TJ,2020-01-13,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-3.402778,-5.284722,-1.5,3.71475,195.58,-4.314815,87.338432
TJ,2020-01-14,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-5.486111,-9.354167,-0.388889,0.254,186.3725,-9.069444,76.225831
TJ,2020-01-15,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.673611,-13.0,-1.326389,0.0,173.6725,-13.416667,69.584292
TJ,2020-01-16,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.659722,-13.763889,-2.611111,0.0,162.56,-13.944444,67.27215
TJ,2020-01-17,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.715278,-12.423611,-3.152778,0.0,160.02,-14.625,63.360802
TJ,2020-01-18,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.597222,-13.6875,-2.263889,0.0,153.246667,-16.256944,55.095534
TJ,2020-01-19,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-8.083333,-12.958333,-3.097222,0.0,162.56,-15.138889,57.390954
TJ,2020-01-20,ChIJzbO8enN2sTgRtYgZT4QxwyU,Q863,country/TJK,TJ,Tajikistan,,,,,,,TJ,TJK,0,0,0,,,0,0,,,,,,,,,,,,9537642,4805738,4731904,6775541,2545477,893826,,68145.0,0.65,2577610,1788367,1648522,1390331,882399,700890,387890,117606,55317,13829,44027,8116626794,870,0.533,214626,38.583333,71.366667,,141380,,,70.879,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38856099999,44.032331,-5.875,-10.25,-1.465278,0.381,154.214286,-10.659722,69.411148
