key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
TL,2020-01-01,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.740741,24.703704,32.62963,19.642667,,24.777778,83.993146
TL,2020-01-02,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.796296,25.0,30.703704,0.0,,24.592593,83.190899
TL,2020-01-03,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.481481,24.962963,30.740741,14.732,,25.074074,86.89874
TL,2020-01-04,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.5,24.462963,30.962963,5.969,,24.333333,82.905163
TL,2020-01-05,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,26.314815,24.277778,28.703704,30.48,,24.648148,90.577381
TL,2020-01-06,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.777778,24.666667,30.037037,1.693333,,25.333333,86.659078
TL,2020-01-07,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,28.12963,25.666667,30.555556,2.54,,25.203704,84.189659
TL,2020-01-08,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.425926,24.796296,30.296296,0.338667,,24.592593,84.600836
TL,2020-01-09,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,28.12963,24.685185,31.074074,0.0,,24.722222,81.837614
TL,2020-01-10,ChIJKaHkhgnl_SwRPFvoh4PG5QM,Q574,country/TLS,TL,East Timor,,,,,,,TL,TLS,0,0,0,,,0,0,,,,,,,,,,,,1318442,666242,652200,892937,400182,,,88665.0,0.625,331878,306716,244908,159027,100788,88473,50144,28914,4462,1115,7594,1673540300,1294,0.434,305142,-8.966667,125.75,,14870,14569,359,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.668,0.7224,83.197708,6.942779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,97320099999,154.534746,27.925926,25.074074,30.666667,1.524,,24.722222,82.815652
