key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
TM,2020-01-01,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,5.294444,0.938889,11.111111,0.0254,,1.688889,77.770766
TM,2020-01-02,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,4.133333,-0.738889,10.977778,0.0508,,1.233333,81.640686
TM,2020-01-03,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,5.005556,-0.911111,11.694444,0.112889,,0.777778,74.298871
TM,2020-01-04,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,3.527778,-0.094444,6.927778,10.033,,0.333333,80.076629
TM,2020-01-05,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,2.622222,0.655556,4.822222,0.616857,,0.677778,87.435052
TM,2020-01-06,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,1.833333,-0.955556,5.394444,1.2954,,-0.683333,83.555332
TM,2020-01-07,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,38656099999,125.788276,2.755556,-1.827778,8.611111,0.0762,,-0.572222,78.894378
TM,2020-01-08,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.78,38656099999,125.788276,3.944444,-2.111111,11.383333,0.0,,-1.383333,69.204988
TM,2020-01-09,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.78,38656099999,125.788276,5.327778,-0.572222,12.605556,0.0,,-1.927778,60.877243
TM,2020-01-10,ChIJy2y8dFXLZT8RkaRpQWuC3X4,Q874,country/TKM,TM,Turkmenistan,,,,,,,TM,TKM,0,0,0,,,0,0,,,,,,,,,,,,6031187,2969310,3061877,2849351,3092738,828065,,12834.0,0.706,1332930,1008743,1009791,957885,697821,535459,334444,103457,66967,16741,50656,40761142857,6966,,223026,39.0,60.0,,488100,,,68.073,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.78,38656099999,125.788276,5.333333,0.333333,10.472222,0.0,,0.683333,72.10528
