key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
TW,2020-01-01,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,59158099999,36.259331,17.877778,15.238889,20.661111,0.0,,14.388889,80.20086
TW,2020-01-02,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,19.483333,15.922222,24.338889,0.0,,15.161111,76.262533
TW,2020-01-03,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,19.855556,15.944444,24.277778,0.0,,15.455556,76.083055
TW,2020-01-04,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,20.411111,16.927778,24.672222,0.0,,16.255556,77.401998
TW,2020-01-05,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,20.972222,17.577778,25.222222,0.0,,16.611111,76.377998
TW,2020-01-06,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,20.644444,17.894444,24.9,0.0,,17.255556,81.129138
TW,2020-01-07,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,21.683333,17.905556,26.638889,0.0,,16.522222,72.62262
TW,2020-01-08,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,19.455556,15.794444,24.05,0.0,,13.938889,70.51045
TW,2020-01-09,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,19.744444,17.038889,23.894444,0.0,,15.055556,74.490732
TW,2020-01-10,ChIJL1cHXAbzbjQRaVScvwTwEec,Q865,country/TWN,TW,Taiwan,,,,,,,TW,TWN,0,,,,,,,,,,,,,,,,,,23816775,11834313,11982462,,,,,672600.0,0.911,2052886,2188811,3120354,3548586,3787843,3659218,3101014,1488800,689920,172480,869263,,,,449220,24.0,121.0,,36193,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,59158099999,36.259331,20.683333,17.183333,25.4,0.0,,16.433333,76.860862
