key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
UY,2020-01-01,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86545099999,122.383192,22.401235,20.179012,24.67284,0.5715,,18.561728,79.291695
UY,2020-01-02,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,22.516667,18.733333,25.777778,0.22225,,17.333333,72.829311
UY,2020-01-03,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,23.4,17.994444,27.216667,0.0,,16.7,66.495434
UY,2020-01-04,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86545099999,122.383192,23.450617,16.969136,28.061728,0.0,,15.722222,62.336134
UY,2020-01-05,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86545099999,122.383192,25.339506,17.882716,30.518519,0.0,,16.839506,59.583381
UY,2020-01-06,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86545099999,122.383192,24.092593,19.740741,27.5,0.8255,,15.438272,58.754425
UY,2020-01-07,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,23.45,15.666667,27.988889,0.366889,,11.444444,47.817075
UY,2020-01-08,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,25.977778,15.588889,32.688889,0.0,,12.705556,44.131148
UY,2020-01-09,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,23.85,19.638889,28.255556,3.048,,18.194444,70.90416
UY,2020-01-10,ChIJCd5f-zoHdZURSlIWYGGWVUo,Q77,country/URY,UY,Uruguay,,,,,,,UY,URY,0,0,0,,,0,0,,,,,,,,,,,,3473727,1678336,1795391,158340,3303394,1744700,1744700,19848.0,0.804,473070,478929,511560,461146,455020,391077,327921,220266,117764,29441,154738,56045912952,16190,0.6,287072,-33.0,-56.0,,176220,168731,4689,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86530099999,61.257769,24.506173,19.654321,28.950617,0.564444,,18.549383,69.947099
