key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
VC,2020-01-01,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.87037,22.808642,30.58642,0.92075,,21.950617,74.558253
VC,2020-01-02,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.765432,22.518519,30.518519,2.681111,,21.975309,75.219442
VC,2020-01-03,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.271605,22.395062,30.444444,2.54,,21.975309,77.58917
VC,2020-01-04,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,25.783951,21.740741,30.222222,1.17475,,21.709877,78.516933
VC,2020-01-05,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,25.537037,21.746914,30.135802,2.00025,,22.283951,82.478307
VC,2020-01-06,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.154321,22.222222,30.111111,6.858,,21.882716,77.540012
VC,2020-01-07,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.703704,22.41358,30.209877,2.032,,21.388889,72.974481
VC,2020-01-08,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,27.123457,23.080247,30.314815,0.9525,,21.660494,72.220098
VC,2020-01-09,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.734568,22.858025,30.419753,3.527778,,21.82716,74.606166
VC,2020-01-10,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,,,,,,,VC,VCT,0,0,0,,,0,0,,,,,,,,,,,,110947,56218,54729,52404,58185,,,284479.0,0.723,15947,17428,17502,15711,14484,13590,9176,4503,1613,403,2606,825385185,7463,,550725,13.166667,-61.233333,,390,322,111,72.415,,11.6,14.8,206.879,125.132,47.6,23.2,,7.0145,,320.593292,99.984779,,,,,,,,,,,,,,,,,,,,,,,,,,,78948000406,71.75883,26.796296,22.685185,30.111111,5.221111,,20.919753,70.360632
