key,date,place_id,wikidata,datacommons,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,locality_code,locality_name,3166-1-alpha-2,3166-1-alpha-3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,new_hospitalized,total_hospitalized,current_hospitalized,new_intensive_care,total_intensive_care,current_intensive_care,new_ventilator,total_ventilator,current_ventilator,population,population_male,population_female,rural_population,urban_population,largest_city_population,clustered_population,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,gdp,gdp_per_capita,human_capital_index,open_street_maps,latitude,longitude,elevation,area,rural_area,urban_area,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,noaa_station,noaa_distance,average_temperature,minimum_temperature,maximum_temperature,rainfall,snowfall,dew_point,relative_humidity
VU,2020-01-01,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,27.194444,22.638889,30.055556,0.254,,22.277778,74.611601
VU,2020-01-02,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,26.402778,21.916667,29.902778,0.8255,,21.236111,73.381853
VU,2020-01-03,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,26.875,21.875,30.125,0.0,,22.069444,75.080558
VU,2020-01-04,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,28.152778,23.805556,30.25,0.254,,22.092593,71.270126
VU,2020-01-05,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,28.013889,23.902778,30.569444,0.0,,23.277778,74.785853
VU,2020-01-06,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,28.291667,25.555556,30.569444,0.338667,,25.680556,86.096152
VU,2020-01-07,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91557099999,122.839341,28.185185,23.740741,31.12963,3.302,,23.777778,77.038316
VU,2020-01-08,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91555099999,33.359014,28.097222,24.152778,31.125,0.0,,23.240741,76.545701
VU,2020-01-09,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91557099999,122.839341,28.12963,23.925926,31.092593,0.0,,24.722222,81.878924
VU,2020-01-10,ChIJE2CSyF5giW4RaibQvs85gzQ,Q686,country/VUT,VU,Vanuatu,,,,,,,VU,VUT,0,0,0,,,0,0,,,,,,,,,,,,307150,155690,151460,223730,76152,,,25197.0,0.603,80885,66926,50768,41003,29192,20545,11437,4838,1384,346,1555,917058850,3058,0.471,2177246,-16.633331,168.016669,,12190,12210,97,70.323,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91557099999,122.839341,27.092593,24.166667,30.37037,4.445,,25.111111,89.025649
